name,outcome,mortality_year_start,mortality_year_end,mortality_n_years,mortality_deaths_total,mortality_rate_crude_per_100k,mortality_rate_age_adjusted_per_100k,mortality_low_count_flag,mortality_deaths_0_14,mortality_rate_0_14_per_100k,mortality_deaths_15_64,mortality_rate_15_64_per_100k,mortality_deaths_65_plus,mortality_rate_65_plus_per_100k
María Pinto,parkinsonism,2018,2022,5,2.0,2.9433,3.2907,1,0.0,0.0,0.0,0.0,2.0,31.2744
Melipilla,parkinsonism,2018,2022,5,20.0,3.2355,3.0654,0,0.0,0.0,1.0,0.2326,19.0,27.5562
Padre Hurtado,parkinsonism,2018,2022,5,4.0,1.2648,1.6018,1,0.0,0.0,0.0,0.0,4.0,15.2236
Paine,parkinsonism,2018,2022,5,10.0,2.7488,3.1605,0,0.0,0.0,1.0,0.3882,9.0,27.4056
Pedro Aguirre Cerda,parkinsonism,2018,2022,5,14.0,2.7675,2.0586,0,0.0,0.0,0.0,0.0,14.0,19.5654
Peñaflor,parkinsonism,2018,2022,5,17.0,3.7694,4.1167,0,0.0,0.0,1.0,0.318,16.0,36.9686
Peñalolén,parkinsonism,2018,2022,5,20.0,1.6556,1.7247,0,0.0,0.0,0.0,0.0,20.0,16.3914
Pirque,parkinsonism,2018,2022,5,3.0,2.2624,2.4603,1,0.0,0.0,0.0,0.0,3.0,23.3827
Providencia,parkinsonism,2018,2022,5,76.0,10.6983,7.269,0,0.0,0.0,1.0,0.194,75.0,67.769
Pudahuel,parkinsonism,2018,2022,5,25.0,2.1711,2.8148,0,0.0,0.0,0.0,0.0,25.0,26.7523
Puente Alto,parkinsonism,2018,2022,5,59.0,2.0771,2.9791,0,0.0,0.0,3.0,0.1452,56.0,27.3291
Quilicura,parkinsonism,2018,2022,5,11.0,1.0456,2.2494,0,0.0,0.0,0.0,0.0,11.0,21.3779
Quinta Normal,parkinsonism,2018,2022,5,25.0,4.5444,3.7278,0,0.0,0.0,1.0,0.2579,24.0,33.6795
Recoleta,parkinsonism,2018,2022,5,23.0,2.9141,2.4697,0,0.0,0.0,0.0,0.0,23.0,23.4718
Renca,parkinsonism,2018,2022,5,24.0,3.262,3.485,0,0.0,0.0,0.0,0.0,24.0,33.1217
San Bernardo,parkinsonism,2018,2022,5,40.0,2.655,3.3218,0,0.0,0.0,3.0,0.2818,37.0,29.6593
San Joaquín,parkinsonism,2018,2022,5,24.0,5.0798,3.6476,0,0.0,0.0,0.0,0.0,24.0,34.6671
San José de Maipo,parkinsonism,2018,2022,5,2.0,2.1991,2.1762,1,0.0,0.0,0.0,0.0,2.0,20.6825
San Miguel,parkinsonism,2018,2022,5,32.0,5.9285,4.8854,0,0.0,0.0,0.0,0.0,32.0,46.4306
San Pedro,parkinsonism,2018,2022,5,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
San Ramón,parkinsonism,2018,2022,5,18.0,4.3426,3.2205,0,0.0,0.0,1.0,0.3589,17.0,28.1737
Santiago,parkinsonism,2018,2022,5,57.0,2.8183,4.0912,0,0.0,0.0,0.0,0.0,57.0,38.8826
Talagante,parkinsonism,2018,2022,5,12.0,3.2329,3.6522,0,0.0,0.0,1.0,0.3804,11.0,32.1309
Tiltil,parkinsonism,2018,2022,5,4.0,4.1425,4.4726,1,0.0,0.0,0.0,0.0,4.0,42.508
Vitacura,parkinsonism,2018,2022,5,31.0,7.2613,4.3841,0,0.0,0.0,0.0,0.0,31.0,41.6667
Ñuñoa,parkinsonism,2018,2022,5,89.0,8.548,6.2454,0,0.0,0.0,2.0,0.2687,87.0,57.534
