name,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,precipitation_sum
Alhué,2024-01-01,29.3,14.1,21.4,30.1,0.0
Alhué,2024-01-02,32.3,15.9,23.4,33.1,0.0
Alhué,2024-01-03,30.1,17.6,23.3,32.0,0.0
Alhué,2024-01-04,27.4,17.2,21.8,29.6,0.0
Alhué,2024-01-05,25.4,16.5,20.7,27.2,0.0
Alhué,2024-01-06,28.2,16.4,21.3,29.5,0.0
Alhué,2024-01-07,30.4,15.3,22.7,30.6,0.0
Alhué,2024-01-08,30.3,16.3,22.7,30.3,0.0
Alhué,2024-01-09,30.3,17.1,22.6,30.7,0.0
Alhué,2024-01-10,30.7,16.3,22.9,31.4,0.0
Alhué,2024-01-11,30.5,18.4,23.2,30.7,0.0
Alhué,2024-01-12,28.1,16.5,21.1,29.6,0.0
Alhué,2024-01-13,27.6,14.0,20.3,28.0,0.0
Alhué,2024-01-14,33.4,15.6,24.8,33.1,0.0
Alhué,2024-01-15,31.4,17.0,24.4,30.4,0.0
Alhué,2024-01-16,32.9,14.0,23.6,31.7,0.0
Alhué,2024-01-17,29.1,19.0,23.9,30.2,0.0
Alhué,2024-01-18,33.0,16.6,24.7,31.8,0.0
Alhué,2024-01-19,34.1,19.2,26.2,33.8,0.0
Alhué,2024-01-20,30.1,20.4,24.8,31.0,0.0
Alhué,2024-01-21,32.1,18.9,24.8,33.8,0.0
Alhué,2024-01-22,31.6,19.2,24.7,33.9,0.0
Alhué,2024-01-23,29.7,17.2,22.8,31.8,0.0
Alhué,2024-01-24,35.5,18.0,25.8,37.0,0.0
Alhué,2024-01-25,29.0,18.8,23.4,31.2,0.0
Alhué,2024-01-26,30.1,16.3,22.1,31.8,0.0
Alhué,2024-01-27,34.1,17.9,24.9,35.8,0.0
Alhué,2024-01-28,29.1,18.9,22.9,31.2,0.0
Alhué,2024-01-29,32.0,18.9,24.2,34.4,0.0
Alhué,2024-01-30,36.9,19.0,27.7,36.9,0.0
Alhué,2024-01-31,37.3,20.9,29.4,36.5,0.0
Alhué,2024-02-01,36.2,20.9,28.4,35.7,0.0
Alhué,2024-02-02,36.8,19.9,28.1,35.9,0.0
Alhué,2024-02-03,35.8,20.0,28.2,34.7,0.0
Alhué,2024-02-04,28.9,17.9,24.4,30.4,0.0
Alhué,2024-02-05,33.0,16.4,24.5,34.2,0.0
Alhué,2024-02-06,30.9,21.2,25.0,32.3,0.0
Alhué,2024-02-07,35.1,18.9,26.8,36.6,0.0
Alhué,2024-02-08,32.0,19.8,25.9,32.8,0.0
Alhué,2024-02-09,30.0,17.3,22.9,30.8,0.0
Alhué,2024-02-10,32.5,18.6,24.7,32.7,0.0
Alhué,2024-02-11,30.6,16.3,22.8,31.5,0.0
Alhué,2024-02-12,35.2,19.3,26.6,34.5,0.0
Alhué,2024-02-13,29.0,18.5,24.3,30.5,0.0
Alhué,2024-02-14,30.3,16.2,22.2,32.2,0.0
Alhué,2024-02-15,30.3,16.5,22.8,32.6,0.0
Alhué,2024-02-16,31.1,16.7,23.2,32.6,0.0
Alhué,2024-02-17,34.8,18.4,26.2,32.7,0.0
Alhué,2024-02-18,32.4,20.0,25.7,33.3,0.0
Alhué,2024-02-19,27.3,16.6,21.1,29.0,0.0
Alhué,2024-02-20,28.5,15.7,21.0,30.8,0.0
Alhué,2024-02-21,27.3,15.4,20.1,28.4,0.0
Alhué,2024-02-22,21.4,16.5,18.2,21.3,6.3
Alhué,2024-02-23,30.2,15.3,22.3,30.8,0.0
Alhué,2024-02-24,30.0,18.8,23.7,31.7,0.0
Alhué,2024-02-25,30.3,18.3,23.1,31.4,0.0
Alhué,2024-02-26,31.3,16.7,23.7,32.1,0.0
Alhué,2024-02-27,30.8,19.9,24.7,31.2,0.0
Alhué,2024-02-28,32.8,17.4,24.9,32.4,0.0
Alhué,2024-02-29,33.3,19.0,25.9,33.5,0.0
Alhué,2024-03-01,29.2,19.7,23.8,29.6,0.0
Alhué,2024-03-02,30.5,18.0,24.1,29.6,0.0
Alhué,2024-03-03,29.9,19.7,24.1,29.9,0.0
Alhué,2024-03-04,31.1,19.0,24.7,31.4,0.0
Alhué,2024-03-05,29.1,19.2,23.4,30.2,0.0
Alhué,2024-03-06,29.3,16.7,22.5,29.8,0.0
Alhué,2024-03-07,26.8,15.0,19.9,27.0,0.0
Alhué,2024-03-08,26.5,12.9,19.6,26.1,0.0
Alhué,2024-03-09,29.6,14.3,22.0,29.6,0.0
Alhué,2024-03-10,27.0,17.3,21.8,27.7,0.0
Alhué,2024-03-11,26.4,15.7,19.7,26.7,0.0
Alhué,2024-03-12,27.7,12.7,20.2,27.8,0.0
Alhué,2024-03-13,28.0,14.4,20.9,28.7,0.0
Alhué,2024-03-14,27.7,13.9,20.8,26.9,0.0
Alhué,2024-03-15,28.3,16.2,21.7,27.5,0.0
Alhué,2024-03-16,28.6,14.3,21.3,27.1,0.0
Alhué,2024-03-17,30.2,16.4,23.0,28.9,0.0
Alhué,2024-03-18,30.8,17.0,24.1,29.8,0.0
Alhué,2024-03-19,25.5,15.1,21.5,25.4,0.0
Alhué,2024-03-20,20.2,12.8,16.8,20.2,0.0
Alhué,2024-03-21,29.3,14.9,22.4,29.2,0.0
Alhué,2024-03-22,31.1,18.5,25.1,31.4,0.0
Alhué,2024-03-23,29.5,18.7,23.5,30.2,0.0
Alhué,2024-03-24,31.8,17.7,24.1,31.5,0.0
Alhué,2024-03-25,27.0,17.7,22.3,28.2,0.0
Alhué,2024-03-26,30.1,16.1,22.6,30.7,0.0
Alhué,2024-03-27,29.8,17.7,23.5,30.8,0.0
Alhué,2024-03-28,28.3,17.7,22.5,29.8,0.0
Alhué,2024-03-29,29.6,17.8,23.7,30.8,0.0
Alhué,2024-03-30,30.6,17.8,23.4,31.2,0.0
Alhué,2024-03-31,28.3,16.8,22.0,27.0,0.0
Alhué,2024-04-01,25.5,14.6,19.8,24.1,0.0
Alhué,2024-04-02,24.8,16.2,19.8,22.7,0.2
Alhué,2024-04-03,22.4,16.0,18.8,22.9,1.1
Alhué,2024-04-04,26.3,14.4,19.5,26.6,0.0
Alhué,2024-04-05,27.0,16.8,21.2,27.2,0.0
Alhué,2024-04-06,25.1,12.8,18.9,25.5,0.0
Alhué,2024-04-07,26.9,14.1,20.4,26.8,0.0
Alhué,2024-04-08,25.8,16.0,20.0,25.9,0.0
Alhué,2024-04-09,26.3,14.4,20.2,26.5,0.0
Alhué,2024-04-10,25.5,15.4,20.0,25.4,0.0
Alhué,2024-04-11,20.5,12.3,15.6,19.8,0.0
Alhué,2024-04-12,19.6,12.2,14.9,19.1,0.1
Alhué,2024-04-13,20.3,10.9,15.3,19.5,0.1
Alhué,2024-04-14,22.0,12.1,16.9,21.2,0.1
Alhué,2024-04-15,20.0,12.8,15.8,18.9,0.4
Alhué,2024-04-16,23.2,11.6,17.1,22.5,0.0
Alhué,2024-04-17,29.3,13.2,20.6,27.5,0.0
Alhué,2024-04-18,30.9,16.8,23.0,30.3,0.0
Alhué,2024-04-19,23.7,15.9,19.5,23.8,0.0
Alhué,2024-04-20,21.9,16.0,18.4,22.0,0.0
Alhué,2024-04-21,19.3,15.4,16.7,17.7,0.3
Alhué,2024-04-22,19.2,13.7,16.1,18.5,1.6
Alhué,2024-04-23,23.2,10.9,17.0,23.6,0.0
Alhué,2024-04-24,20.6,11.8,16.5,19.7,0.0
Alhué,2024-04-25,21.7,9.7,15.8,20.1,0.0
Alhué,2024-04-26,19.6,9.8,14.9,18.5,0.0
Alhué,2024-04-27,19.6,9.0,13.5,18.6,0.0
Alhué,2024-04-28,17.0,9.5,13.1,14.9,0.0
Alhué,2024-04-29,18.2,7.8,12.9,14.2,0.6
Alhué,2024-04-30,14.7,11.5,12.8,14.2,17.7
Alhué,2024-05-01,14.7,7.7,11.5,13.3,0.5
Alhué,2024-05-02,15.6,5.7,10.1,13.9,0.0
Alhué,2024-05-03,15.3,5.4,10.6,13.9,0.0
Alhué,2024-05-04,17.3,7.8,12.6,16.0,0.0
Alhué,2024-05-05,16.5,9.6,12.4,15.7,0.0
Alhué,2024-05-06,15.7,7.8,11.2,14.1,0.0
Alhué,2024-05-07,14.3,4.6,8.9,10.9,18.0
Alhué,2024-05-08,16.9,3.7,9.3,15.3,0.0
Alhué,2024-05-09,15.5,9.3,12.2,14.2,0.0
Alhué,2024-05-10,14.8,6.7,11.1,13.5,0.0
Alhué,2024-05-11,15.0,5.3,9.9,13.4,0.0
Alhué,2024-05-12,14.6,5.0,9.3,12.3,0.0
Alhué,2024-05-13,14.7,4.9,9.3,13.1,0.0
Alhué,2024-05-14,15.7,5.5,10.4,14.2,0.0
Alhué,2024-05-15,12.9,5.3,8.8,9.9,0.0
Alhué,2024-05-16,15.1,4.6,9.3,13.1,0.0
Alhué,2024-05-17,14.8,6.1,9.9,12.7,0.2
Alhué,2024-05-18,15.7,5.5,9.9,14.4,0.0
Alhué,2024-05-19,18.0,6.8,12.8,17.2,0.0
Alhué,2024-05-20,17.6,9.4,12.0,15.3,17.8
Alhué,2024-05-21,16.9,8.5,11.4,16.3,0.0
Alhué,2024-05-22,12.9,9.1,11.2,12.0,9.2
Alhué,2024-05-23,14.1,5.9,9.7,12.4,1.3
Alhué,2024-05-24,18.1,6.6,12.6,16.6,0.0
Alhué,2024-05-25,17.9,10.6,13.3,15.3,1.2
Alhué,2024-05-26,15.7,9.1,11.3,14.4,7.5
Alhué,2024-05-27,17.9,7.9,12.7,18.4,0.0
Alhué,2024-05-28,19.5,10.2,14.5,18.3,0.0
Alhué,2024-05-29,20.2,11.1,14.7,20.6,1.7
Alhué,2024-05-30,20.4,12.0,16.6,21.0,0.0
Alhué,2024-05-31,18.3,11.6,15.7,17.3,0.0
Alhué,2024-06-01,19.1,9.8,13.8,19.9,0.0
Alhué,2024-06-02,22.8,12.4,17.2,22.8,0.0
Alhué,2024-06-03,21.6,11.0,16.7,19.4,0.0
Alhué,2024-06-04,20.2,9.8,15.7,19.3,0.0
Alhué,2024-06-05,18.2,12.8,15.8,16.8,0.0
Alhué,2024-06-06,20.0,13.1,16.3,20.5,0.0
Alhué,2024-06-07,22.6,12.5,17.5,24.0,0.0
Alhué,2024-06-08,21.6,11.0,15.3,19.3,11.3
Alhué,2024-06-09,16.6,11.3,13.4,16.0,15.2
Alhué,2024-06-10,16.6,12.4,14.8,16.4,0.0
Alhué,2024-06-11,16.5,11.8,14.3,16.1,0.2
Alhué,2024-06-12,16.4,12.8,14.6,14.1,0.8
Alhué,2024-06-13,14.0,11.7,12.7,12.7,61.3
Alhué,2024-06-14,16.3,9.5,12.3,14.0,9.8
Alhué,2024-06-15,15.8,7.7,11.2,14.8,0.0
Alhué,2024-06-16,14.7,7.5,11.1,14.2,0.0
Alhué,2024-06-17,15.7,7.8,11.5,14.0,10.4
Alhué,2024-06-18,12.2,10.2,11.1,10.5,54.4
Alhué,2024-06-19,16.1,9.5,12.1,15.0,1.7
Alhué,2024-06-20,14.2,9.0,11.9,12.4,4.2
Alhué,2024-06-21,12.1,8.9,10.3,10.6,65.6
Alhué,2024-06-22,10.5,7.5,8.9,8.6,19.3
Alhué,2024-06-23,12.7,5.1,8.8,10.7,0.0
Alhué,2024-06-24,12.5,7.0,8.9,11.0,0.0
Alhué,2024-06-25,13.0,4.6,7.8,11.5,0.0
Alhué,2024-06-26,18.3,4.8,11.6,17.2,0.0
Alhué,2024-06-27,16.4,9.5,13.1,15.6,0.0
Alhué,2024-06-28,16.3,7.2,11.2,16.1,0.0
Alhué,2024-06-29,20.3,7.8,14.1,19.5,0.0
Alhué,2024-06-30,19.0,10.1,15.5,18.9,0.0
Alhué,2024-07-01,21.1,12.9,17.0,20.4,0.0
Alhué,2024-07-02,18.2,12.0,15.2,17.8,0.0
Alhué,2024-07-03,17.7,11.1,14.7,17.5,0.0
Alhué,2024-07-04,16.9,4.5,9.8,13.5,0.0
Alhué,2024-07-05,17.8,3.4,10.1,14.2,0.0
Alhué,2024-07-06,14.4,4.4,10.8,11.3,0.0
Alhué,2024-07-07,15.5,4.1,8.7,12.5,0.0
Alhué,2024-07-08,16.3,6.0,10.7,13.3,0.0
Alhué,2024-07-09,10.7,2.5,8.1,7.9,0.0
Alhué,2024-07-10,12.1,1.1,6.8,10.3,0.0
Alhué,2024-07-11,12.5,3.0,7.4,10.9,0.0
Alhué,2024-07-12,16.7,4.6,10.8,13.4,0.0
Alhué,2024-07-13,14.2,7.7,11.0,12.3,0.0
Alhué,2024-07-14,14.0,8.1,11.7,11.3,0.0
Alhué,2024-07-15,16.1,7.8,11.9,12.2,0.0
Alhué,2024-07-16,21.1,6.7,14.5,17.6,0.0
Alhué,2024-07-17,19.3,11.3,15.7,16.1,0.0
Alhué,2024-07-18,14.0,8.0,11.0,12.1,0.0
Alhué,2024-07-19,15.5,7.3,11.0,15.2,0.0
Alhué,2024-07-20,15.0,8.5,11.1,14.6,0.0
Alhué,2024-07-21,16.8,7.0,11.6,15.7,0.0
Alhué,2024-07-22,19.4,8.7,13.8,19.5,0.2
Alhué,2024-07-23,13.2,6.9,10.2,12.5,0.0
Alhué,2024-07-24,18.2,7.4,12.8,18.7,0.0
Alhué,2024-07-25,16.6,9.0,13.9,15.8,0.0
Alhué,2024-07-26,14.8,7.2,11.1,14.2,0.0
Alhué,2024-07-27,17.8,5.5,10.0,16.1,0.0
Alhué,2024-07-28,18.8,6.0,11.9,16.9,0.0
Alhué,2024-07-29,23.4,9.1,15.7,24.1,0.0
Alhué,2024-07-30,20.5,11.6,15.4,18.7,0.0
Alhué,2024-07-31,14.7,10.6,12.1,14.3,0.2
Alhué,2024-08-01,14.2,10.4,11.4,11.5,7.0
Alhué,2024-08-02,12.8,8.8,11.1,11.1,56.8
Alhué,2024-08-03,16.9,6.3,11.0,15.6,0.5
Alhué,2024-08-04,16.1,8.2,12.2,14.8,0.0
Alhué,2024-08-05,11.7,8.1,9.5,9.8,15.7
Alhué,2024-08-06,12.3,5.0,8.2,10.0,2.4
Alhué,2024-08-07,12.0,2.4,6.8,9.9,0.0
Alhué,2024-08-08,16.5,4.3,9.1,14.2,0.0
Alhué,2024-08-09,18.9,5.2,12.1,18.5,0.0
Alhué,2024-08-10,19.0,7.7,14.0,18.6,0.0
Alhué,2024-08-11,21.4,8.3,14.4,21.4,0.0
Alhué,2024-08-12,23.8,12.3,17.9,25.3,0.0
Alhué,2024-08-13,19.5,11.8,16.1,20.0,0.0
Alhué,2024-08-14,16.4,10.7,13.1,16.9,0.0
Alhué,2024-08-15,17.1,8.7,12.8,16.7,0.0
Alhué,2024-08-16,14.7,9.5,11.7,14.2,0.0
Alhué,2024-08-17,16.5,8.0,11.5,16.2,0.0
Alhué,2024-08-18,12.5,7.9,10.1,11.8,0.0
Alhué,2024-08-19,13.5,6.5,9.4,12.3,0.0
Alhué,2024-08-20,11.4,4.1,8.0,9.3,0.0
Alhué,2024-08-21,11.8,2.8,6.7,8.5,6.8
Alhué,2024-08-22,12.5,3.1,8.0,10.9,0.6
Alhué,2024-08-23,11.1,3.5,7.0,9.5,7.3
Alhué,2024-08-24,19.1,4.2,10.7,17.8,0.0
Alhué,2024-08-25,19.1,8.7,14.8,19.3,0.0
Alhué,2024-08-26,17.4,5.8,11.6,17.6,0.0
Alhué,2024-08-27,18.8,6.4,12.7,19.4,0.0
Alhué,2024-08-28,15.1,8.8,11.7,14.7,0.0
Alhué,2024-08-29,14.0,8.9,10.7,12.8,0.7
Alhué,2024-08-30,15.6,8.7,11.0,14.3,0.5
Alhué,2024-08-31,20.7,7.5,13.6,21.3,0.0
Alhué,2024-09-01,22.9,10.6,16.7,23.6,0.0
Alhué,2024-09-02,13.2,8.5,10.8,12.1,0.8
Alhué,2024-09-03,17.5,6.0,11.1,17.2,0.0
Alhué,2024-09-04,20.8,5.0,12.4,20.1,0.0
Alhué,2024-09-05,21.3,11.0,16.1,22.0,0.0
Alhué,2024-09-06,17.4,9.4,13.2,17.3,0.0
Alhué,2024-09-07,16.9,9.6,12.4,16.6,0.0
Alhué,2024-09-08,19.6,8.0,13.1,20.8,0.0
Alhué,2024-09-09,20.9,10.9,15.6,21.5,0.0
Alhué,2024-09-10,17.3,10.0,13.8,16.6,0.3
Alhué,2024-09-11,19.4,7.8,13.6,19.5,0.0
Alhué,2024-09-12,16.5,10.2,13.0,16.6,0.0
Alhué,2024-09-13,19.2,8.8,13.5,19.1,0.0
Alhué,2024-09-14,23.2,10.1,15.6,23.6,0.0
Alhué,2024-09-15,24.5,10.3,16.7,23.7,0.0
Alhué,2024-09-16,25.2,12.4,18.2,25.4,0.0
Alhué,2024-09-17,20.5,10.0,14.9,21.6,0.0
Alhué,2024-09-18,19.7,11.0,15.1,19.7,2.8
Alhué,2024-09-19,13.7,8.6,11.5,11.7,22.9
Alhué,2024-09-20,18.5,7.3,12.7,18.2,0.0
Alhué,2024-09-21,17.4,9.5,12.2,16.6,0.0
Alhué,2024-09-22,13.5,9.9,11.7,13.1,7.8
Alhué,2024-09-23,17.0,9.9,13.0,16.6,0.2
Alhué,2024-09-24,18.0,7.3,12.5,18.4,0.0
Alhué,2024-09-25,18.1,7.3,12.3,17.9,0.0
Alhué,2024-09-26,24.3,9.0,16.5,25.5,0.0
Alhué,2024-09-27,21.8,13.6,17.6,23.5,0.0
Alhué,2024-09-28,24.0,13.4,18.6,25.1,0.0
Alhué,2024-09-29,18.2,11.5,14.6,18.3,0.0
Alhué,2024-09-30,17.8,10.3,12.9,15.1,2.1
Alhué,2024-10-01,17.9,10.5,13.7,17.1,0.2
Alhué,2024-10-02,20.7,7.5,13.9,20.9,0.0
Alhué,2024-10-03,23.7,11.1,17.7,25.6,0.0
Alhué,2024-10-04,23.9,15.5,19.5,25.2,0.0
Alhué,2024-10-05,25.4,12.6,19.4,28.5,0.0
Alhué,2024-10-06,23.3,13.7,18.5,23.8,0.0
Alhué,2024-10-07,22.9,12.0,17.3,25.2,8.9
Alhué,2024-10-08,16.7,11.8,13.8,16.7,4.6
Alhué,2024-10-09,22.1,11.2,16.1,22.1,0.0
Alhué,2024-10-10,18.3,12.9,15.0,18.5,0.1
Alhué,2024-10-11,17.0,11.9,14.3,17.1,0.3
Alhué,2024-10-12,20.2,11.1,15.7,20.5,0.0
Alhué,2024-10-13,23.2,10.2,16.8,24.8,0.0
Alhué,2024-10-14,22.5,11.1,17.2,23.6,0.0
Alhué,2024-10-15,27.1,12.9,19.4,29.3,0.0
Alhué,2024-10-16,18.7,10.6,14.7,18.4,0.0
Alhué,2024-10-17,26.4,9.4,18.6,28.1,0.0
Alhué,2024-10-18,28.1,15.3,21.4,31.6,0.0
Alhué,2024-10-19,19.9,11.7,15.8,21.0,0.0
Alhué,2024-10-20,19.8,11.3,15.1,18.8,0.8
Alhué,2024-10-21,25.0,10.2,17.9,26.3,0.0
Alhué,2024-10-22,23.0,12.9,17.0,24.5,2.7
Alhué,2024-10-23,20.6,11.1,15.4,20.8,1.0
Alhué,2024-10-24,25.8,10.5,17.6,27.6,0.0
Alhué,2024-10-25,23.9,10.6,17.0,23.5,0.0
Alhué,2024-10-26,28.0,13.1,19.7,29.2,0.0
Alhué,2024-10-27,28.2,15.3,20.7,30.3,0.0
Alhué,2024-10-28,30.9,16.1,22.1,33.3,0.0
Alhué,2024-10-29,23.1,14.5,18.1,25.0,0.0
Alhué,2024-10-30,25.6,13.5,18.6,27.5,0.0
Alhué,2024-10-31,24.8,12.8,18.1,27.0,0.1
Alhué,2024-11-01,20.3,12.1,15.0,20.1,0.0
Alhué,2024-11-02,25.9,9.8,18.2,26.4,0.0
Alhué,2024-11-03,21.7,10.5,16.5,21.3,0.0
Alhué,2024-11-04,24.4,8.3,16.6,24.0,0.0
Alhué,2024-11-05,26.7,11.5,19.4,26.8,0.0
Alhué,2024-11-06,27.3,14.1,20.9,27.3,0.0
Alhué,2024-11-07,27.3,15.3,21.0,28.7,0.0
Alhué,2024-11-08,30.0,15.8,22.8,30.8,0.0
Alhué,2024-11-09,27.8,14.8,21.6,29.0,0.0
Alhué,2024-11-10,22.9,14.4,17.5,22.5,1.3
Alhué,2024-11-11,26.1,11.5,19.0,25.0,0.0
Alhué,2024-11-12,30.4,14.5,23.1,29.4,0.0
Alhué,2024-11-13,25.5,15.8,21.3,25.8,0.0
Alhué,2024-11-14,25.4,14.7,19.3,27.2,0.0
Alhué,2024-11-15,25.2,13.6,19.0,26.3,0.0
Alhué,2024-11-16,22.3,13.6,17.3,21.1,0.2
Alhué,2024-11-17,26.0,12.0,19.1,26.5,0.0
Alhué,2024-11-18,25.6,15.2,19.7,26.2,0.0
Alhué,2024-11-19,25.2,12.6,17.8,25.3,0.0
Alhué,2024-11-20,26.3,13.3,19.8,26.8,0.0
Alhué,2024-11-21,26.9,15.4,20.8,27.8,0.0
Alhué,2024-11-22,27.3,13.5,20.2,27.4,0.0
Alhué,2024-11-23,29.9,15.8,22.2,30.6,0.0
Alhué,2024-11-24,28.3,16.1,21.9,28.1,0.0
Alhué,2024-11-25,27.4,16.4,21.0,26.2,0.0
Alhué,2024-11-26,26.5,14.3,19.6,26.2,0.0
Alhué,2024-11-27,25.7,12.3,18.0,24.5,0.0
Alhué,2024-11-28,26.8,11.8,19.4,26.9,0.0
Alhué,2024-11-29,29.2,16.4,22.2,28.0,0.0
Alhué,2024-11-30,25.4,13.6,19.7,25.1,0.0
Alhué,2024-12-01,24.7,12.0,17.7,24.5,0.5
Alhué,2024-12-02,26.5,13.9,20.0,26.2,0.0
Alhué,2024-12-03,25.2,14.4,19.1,26.2,0.0
Alhué,2024-12-04,24.1,12.6,17.6,24.9,0.0
Alhué,2024-12-05,22.1,11.2,16.1,21.3,0.0
Alhué,2024-12-06,26.0,12.5,19.2,26.1,0.0
Alhué,2024-12-07,26.6,15.8,20.6,26.1,0.0
Alhué,2024-12-08,25.1,12.3,18.0,24.5,0.0
Alhué,2024-12-09,30.0,14.2,21.7,30.5,0.0
Alhué,2024-12-10,29.2,16.3,22.1,29.6,0.0
Alhué,2024-12-11,31.2,15.6,23.0,31.3,0.0
Alhué,2024-12-12,26.5,13.4,20.3,26.6,0.0
Alhué,2024-12-13,30.9,17.1,23.4,30.7,0.0
Alhué,2024-12-14,31.4,17.1,22.8,31.9,0.0
Alhué,2024-12-15,25.6,15.5,19.9,27.3,0.0
Alhué,2024-12-16,26.6,14.2,19.4,27.9,0.0
Alhué,2024-12-17,27.2,14.2,19.8,27.7,0.0
Alhué,2024-12-18,30.2,14.9,22.2,30.1,0.0
Alhué,2024-12-19,32.4,18.6,25.5,31.9,0.0
Alhué,2024-12-20,30.5,17.1,23.2,29.8,0.0
Alhué,2024-12-21,32.9,18.5,25.4,33.2,0.0
Alhué,2024-12-22,34.6,21.3,27.0,35.2,0.0
Alhué,2024-12-23,30.7,20.8,25.4,31.9,0.0
Alhué,2024-12-24,28.9,19.3,23.6,30.8,0.0
Alhué,2024-12-25,27.1,16.5,21.1,29.2,0.0
Alhué,2024-12-26,25.3,15.0,19.2,27.3,0.0
Alhué,2024-12-27,26.5,15.6,20.5,28.3,0.0
Alhué,2024-12-28,29.5,15.4,21.6,31.5,0.0
Alhué,2024-12-29,32.2,16.9,22.7,33.6,0.0
Alhué,2024-12-30,31.6,16.5,23.2,31.9,0.0
Alhué,2024-12-31,31.0,18.7,24.3,32.6,0.0
Buin,2024-01-01,29.4,9.2,17.8,29.0,0.0
Buin,2024-01-02,30.8,10.1,19.0,30.6,0.0
Buin,2024-01-03,29.2,11.0,19.4,30.0,0.0
Buin,2024-01-04,27.8,11.1,18.9,28.4,0.0
Buin,2024-01-05,26.6,11.5,18.1,27.2,0.0
Buin,2024-01-06,27.2,11.8,18.6,28.3,0.0
Buin,2024-01-07,30.7,11.3,20.5,30.9,0.0
Buin,2024-01-08,30.5,12.4,20.5,30.2,0.0
Buin,2024-01-09,30.3,11.1,19.7,29.7,0.0
Buin,2024-01-10,30.3,10.4,19.5,29.9,0.0
Buin,2024-01-11,30.0,12.2,19.5,29.3,0.0
