name,date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,dewpoint_temperature_2m,total_precipitation_sum
Alhué,2017-01-01,20.88008160909027,14.359200744628936,29.526120738983252,10.376892751057936,0.0012876149639851
Alhué,2017-01-02,22.185205510457426,16.44990753173829,29.682394556999213,8.229579518636115,0.0017099776528084
Alhué,2017-01-03,19.69505421956393,12.413041491508466,26.770373172760117,7.404325205485122,0.0012844800494349
Alhué,2017-01-04,19.548196360270257,12.042686424255464,26.97960261821754,4.648788935343418,0.0004351138045421
Alhué,2017-01-05,21.58957722981779,13.831848349571317,30.263405122757035,3.688909098307363,0.0008523463179699
Alhué,2017-01-06,21.340643463134825,14.597692184448247,28.443127508163514,8.337557296753005,0.001726419895931
Alhué,2017-01-07,21.747922693888427,15.891156616210992,28.577135210037284,8.567567214965834,0.0004351138045421
Alhué,2017-01-08,21.34505009969081,15.991530117988646,27.944323196411233,9.496376037597711,0.0036117573176852
Alhué,2017-01-09,19.566591339111422,14.044865102768028,26.99749450683601,9.488244501749705,0.9055980186553828
Alhué,2017-01-10,21.319710083007863,15.704298300743176,28.307620625495986,8.711695734659997,0.0020515596793302
Alhué,2017-01-11,22.693601710001644,15.879470820427002,30.861196899414097,6.983243052164823,0.0025779008296922
Alhué,2017-01-12,24.87849411010751,18.80595476150523,32.20119262695323,6.748467610677153,-5.960430371487746e-06
Alhué,2017-01-13,25.139549229939803,18.364006118774512,32.33855533599859,9.475294291178445,0.0012883065778623
Alhué,2017-01-14,23.86690452575692,18.28866420745851,29.797586059570335,7.845944875081443,0.0025639578780101
Alhué,2017-01-15,21.18378901163743,14.308134765625084,28.647167453765977,7.139743041992233,0.0004351138045421
Alhué,2017-01-16,22.108749237060636,15.653050537109436,29.34471487998968,8.63655291239428,0.0008523463179699
Alhué,2017-01-17,23.877595316569113,17.154671058654912,31.434353256225677,7.939251098632837,0.0004351138045421
Alhué,2017-01-18,24.63958368937182,17.077696094513044,32.8427486610413,6.136362737019908,0.0004351138613856
Alhué,2017-01-19,25.222216898600323,18.510197143554763,32.809033327102725,7.304399922688901,0.0004351138045421
Alhué,2017-01-20,26.804121373494525,19.52442613601687,34.09612774848944,7.263658905029388,0.0008523463179699
Alhué,2017-01-21,27.12936032613123,20.84031663417818,33.367627577781775,10.129976984659834,0.0
Alhué,2017-01-22,23.722980651855497,17.837662873268187,29.752880859375068,11.897218297322638,0.001281499748984
Alhué,2017-01-23,22.2599538421631,16.5525225353241,29.170164527893174,10.583710047404054,0.001718888427149
Alhué,2017-01-24,23.39002014160161,16.4163539123536,30.064772024154703,8.646160100301188,0.0008623470080237
Alhué,2017-01-25,25.0340186564128,17.62748510360717,33.26999733924873,10.989647776285892,0.0
Alhué,2017-01-26,25.60938822428392,19.934167261123775,29.727742900848455,14.278024953206454,0.0005248467346063
Alhué,2017-01-27,23.389669520060295,17.985055255889904,30.31973449707033,16.00246363321952,0.000137067399919
Alhué,2017-01-28,23.47617403666186,17.710418186187837,29.51959570884719,16.16977251688644,0.0008243881165981
Alhué,2017-01-29,23.707117462158237,18.27482522964482,30.859184398651223,14.337409362792926,0.0009314669182458
Alhué,2017-01-30,23.80456047058118,18.211644020080655,30.921744384765645,11.37804130554207,0.0377843808333011
Alhué,2017-01-31,23.678572514851965,17.358066654205402,29.925625009536816,10.88946141560882,0.0021485045935776
Alhué,2017-02-01,22.500368830363016,16.32144403457653,29.460670776367294,10.070642318725731,0.0008583068833445
Alhué,2017-02-02,20.36572957356782,14.1275230646134,26.76107055664079,8.545416488647561,0.0012764174890378
Alhué,2017-02-03,17.268947982788177,11.844586906433165,23.95158874511725,7.631115976969454,0.6860586453694852
Alhué,2017-02-04,16.704896825154663,13.019072003364611,21.65086418628698,10.404724299113012,6.269829927696265
Alhué,2017-02-05,20.324118220011428,12.397875928878875,29.005486779213072,9.23112210591637,0.4411251987403374
Alhué,2017-02-06,22.30173113505049,16.024207801818875,29.194136109352144,8.200914408365918,0.0004351138045421
Alhué,2017-02-07,21.018863321940216,15.592629084587202,27.120713281631534,10.106755752563515,0.0035373773084756
Alhué,2017-02-08,18.03088200887055,11.37067810058602,25.48193666458133,8.839716873169039,0.0007503711071876
Alhué,2017-02-09,18.59267997741705,12.778903465271014,25.575773773193475,7.903204498291075,0.0144850368519655
Alhué,2017-02-10,21.14595677693694,16.09024658203134,28.04287475585943,7.986242243448999,0.0032004807144403
Alhué,2017-02-11,20.970955378214622,14.206257905960172,28.379359130859484,9.284505335489882,0.0008583068797918
Alhué,2017-02-12,22.484356129964283,15.522779836654706,30.65077599048618,9.69089014689132,0.0004360040115614
Alhué,2017-02-13,22.39867602030438,16.598443322181822,27.940228271484443,10.643633804321324,0.0025029059543157
