source,matched_in,name,official_type,commune,lon,lat
deis,osm,Centro Médico y Dental ISP,Centro de Salud Privado,Ñuñoa,-70.614717,-33.464262
deis,osm,Vacunatorio Pharmavisan,Vacunatorio,Ñuñoa,-70.588958,-33.458042
deis,osm,VACUNATORIO FASTFARMACHILE,Vacunatorio,Las Condes,-70.538996,-33.387198
deis,osm,Centro Asistencial AChS Alameda,Centro de Salud Privado,Estación Central,-70.694266,-33.454331
deis,osm,Clínica Los Coihues,Clínica,Estación Central,-70.7252069,-33.4592024
deis,osm,Clínica Psiquiatrica Renacer,Clínica,Ñuñoa,-70.6063138,-33.4526019
deis,osm,Clínica Recuperación Alcohol Alfa,Clínica,Ñuñoa,-70.604116,-33.450314
deis,osm,Red-Lab,Laboratorio Clínico,Ñuñoa,-70.628452,-33.449361
deis,osm,Espacio EME,Vacunatorio,Ñuñoa,-70.602775,-33.447877
deis,osm,Laboratorio Referencia Oxman y Cía. Ltda.,Laboratorio Clínico,Santiago,-70.669423,-33.444929
deis,osm,Laboratorio Bio Reval Ltda,Laboratorio Clínico,Santiago,-70.651889,-33.444597
deis,osm,Consultorio Escuela de Carabineros de Chile,Centro de Salud Privado,Providencia,-70.6119,-33.44386
deis,osm,Servicio Médico Dental (S) Armada de Chile,Centro de Salud Privado,Santiago,-70.689673,-33.4437
deis,osm,Clínica Instituto El Cedro,Clínica,La Reina,-70.5239877,-33.4439993
deis,osm,Centro de Oncología Preventiva de la Universidad de Chile,Centro de Salud Privado,Santiago,-70.683538,-33.441882
deis,osm,Laboratorio Sigma,Laboratorio Clínico,Santiago,-70.677134,-33.440215
deis,osm,Centro de Salud Diagnostiko Ltda,Centro de Salud Privado,Santiago,-70.642253,-33.439095
deis,osm,Bioánalisis Ltda.,Laboratorio Clínico,Providencia,-70.632423,-33.438106
deis,osm,Instituto Radiológico Providencia,Centro de Salud Privado,Providencia,-70.631223,-33.436374
deis,osm,Clínica Psiquiatrica Bretaña,Clínica,Providencia,-70.59623,-33.43594
deis,osm,VACUMED,Vacunatorio,Providencia,-70.631183,-33.435545
deis,osm,Orlandi Oncología,Centro de Salud Privado,Providencia,-70.623886,-33.434315
deis,osm,Centro de Salud Mutual CChC Pudahuel,Centro de Salud Privado,Pudahuel,-70.780219,-33.427641
deis,osm,Diagnóstico por imagen San Vicente de Paul,Vacunatorio,Providencia,-70.59547,-33.426534
deis,osm,Hospital Clínico Universidad de Chile,Hospital,Independencia,-70.653116,-33.420057
deis,osm,INTEGRAMEDICA S.A. SUCURSAL LOS DOMINICOS,Centro de Salud Privado,Las Condes,-70.58871,-33.413184
deis,osm,Hospital Clínico Universidad de Los Andes,Hospital,Las Condes,-70.5034723,-33.4055828
deis,osm,CER,Centro de Salud Privado,Las Condes,-70.580694,-33.406463
deis,osm,Centro Médico Militar Rosa O'Higgins,Centro de Salud Privado,Las Condes,-70.585445,-33.405309
deis,osm,Centro de la Vision Filial Clinica Las Condes,Centro de Salud Privado,Las Condes,-70.572822,-33.402619
deis,osm,COSAM Recoleta,Centro Comunitario de Salud Mental (COSAM),Recoleta,-70.641581,-33.402025
deis,osm,Policlínico del Trabajador AChS Parque Las Américas,Centro de Salud Privado,Conchalí,-70.681955,-33.400648
deis,osm,Centro Médico y Dental MegaSalud Kennedy,Centro de Salud Privado,Las Condes,-70.574539,-33.40046
deis,osm,Biomer S.A.,Vacunatorio,Las Condes,-70.574142,-33.400011
deis,osm,Central Odontológica de la Fuerzas Armadas y de Orden,Centro de Salud Privado,Las Condes,-70.548297,-33.395415
deis,osm,Centro Comunitario de Salud Familiar Valmi  Aguirre,Centro Comunitario de Salud Familiar (CECOSF),Curacaví,-71.12384,-33.39079
deis,osm,Santiago Medical Institute SPA,Clínica,Vitacura,-70.57247,-33.389936
deis,osm,Clínica Psiquiatrica Pocuro,Clínica,Vitacura,-70.54528,-33.38832
deis,osm,Centro de Salud Mutual CChC las Tranqueras,Centro de Salud Privado,Vitacura,-70.552732,-33.387251
deis,osm,Teledoc,Centro de Salud Privado,Las Condes,-70.53279,-33.384203
deis,osm,Procedimientos Clínicos Alto Tabancura,Centro de Salud Privado,Vitacura,-70.536344,-33.380903
deis,osm,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Centro Comunitario de Salud Familiar (CECOSF),Conchalí,-70.6629,-33.3757
deis,osm,Policlínico Instituto de Seguridad del Trabajo de Quilicura,Centro de Salud Privado,Quilicura,-70.713119,-33.373032
deis,osm,Laboratorio Clínico BIOSOLUCIONES,Laboratorio Clínico,Lo Barnechea,-70.516337,-33.371886
deis,osm,Clínica Alemana de La Dehesa,Clínica,Lo Barnechea,-70.5446,-33.36385
deis,osm,Clínica MEDS La Dehesa,Clínica,Lo Barnechea,-70.534952,-33.355737
deis,osm,Instituto Médico el Arrayán,Centro de Salud Privado,Lo Barnechea,-70.478189,-33.359821
deis,osm,Centro de Cadera Dr. Mardones,Centro de Salud Privado,Lo Barnechea,-70.51602,-33.356811
deis,osm,Clínica Monteblanco,Clínica,Lo Barnechea,-70.34427,-33.34334
deis,osm,Vacunatorio Chicureo SpA,Vacunatorio,Colina,-70.706219,-33.278421
deis,osm,COSAM Colina,Centro Comunitario de Salud Mental (COSAM),Colina,-70.676615,-33.195683
deis,osm,Centro Comunitario de Salud Familiar Esmeralda,Centro Comunitario de Salud Familiar (CECOSF),Colina,-70.66344,-33.18373
deis,osm,Centro Medico Huertos Familiares,Centro de Salud Privado,Tiltil,-70.814156,-33.140344
deis,osm,SUR Huertos Familiares,Servicio de Urgencia Rural (SUR),Tiltil,-70.795754,-33.135329
deis,osm,Vacunatorio Darvax,Vacunatorio,La Reina,-70.565863,-33.431268
deis,osm,Posta de Salud Rural La Capilla de Caleu,Posta de Salud Rural (PSR),Tiltil,-70.995242,-33.002879
deis,osm,Vacunatorio Patagonia,Vacunatorio,Las Condes,-70.534943,-33.402602
deis,osm,Centro Comunitario de Salud Familiar LUMEN,Centro Comunitario de Salud Familiar (CECOSF),Maipú,-70.736439,-33.493674
deis,osm,Centro Medico y Dental Del Valle,Centro de Salud Privado,Pudahuel,-70.848608,-33.45267
deis,osm,Centro Odontológico Uno Salud Manuel Montt,Clínica Dental,Providencia,-70.624535,-33.430742
deis,osm,LABORATORIO DE BIOLOGIA MOLECULAR DEPARTAMENTO DE MEDICINA PREVENTIVA,Laboratorio Clínico,La Pintana,-70.630651,-33.574351
deis,osm,Laboratorio Clínico QUALIFIED SPA,Laboratorio Clínico,Ñuñoa,-70.595679,-33.45749
deis,osm,Sciensolutions SPA,Centro de Salud Privado,Vitacura,-70.560466,-33.393662
deis,osm,Laboratorio Clínico LABEXX,Laboratorio Clínico,Peñalolén,-70.557479,-33.48515
deis,osm,Centro Médico Docente Asistencial USS,Centro de Salud Privado,Providencia,-70.60306,-33.424747
deis,osm,Clinica Odontológica Municipal de Peñalolén,Clínica Dental,Peñalolén,-70.530655,-33.478094
deis,osm,Centro de Vacunación Vaxcenter,Vacunatorio,Huechuraba,-70.670141,-33.364238
deis,osm,Laboratorio Clínico Bradford Hill,Laboratorio Clínico,Recoleta,-70.645243,-33.429129
deis,osm,Laboratorio Clínico MEDICEC,Laboratorio Clínico,Renca,-70.766639,-33.404442
deis,osm,Centro Médico KINEROD 2,Centro de Salud Privado,Buin,-70.744362,-33.733317
deis,osm,Laboratorio Green Lab Sur,Laboratorio Clínico,Providencia,-70.603983,-33.444938
deis,osm,IMALAB LTDA,Laboratorio Clínico,Providencia,-70.631485,-33.436564
deis,osm,Laboratorio CLINILAB,Laboratorio Clínico,Peñaflor,-70.880701,-33.61072
deis,osm,Laboratorio Clínico Vego,Laboratorio Clínico,Maipú,-70.791631,-33.556345
deis,osm,Centro Comunitario de Salud Familiar Unión y Esfuerzo Rural,Centro Comunitario de Salud Familiar (CECOSF),Pudahuel,-70.81815,-33.38556
