name,area_km2,poblacion,ingreso,escolaridad,pobreza_pct,pobreza_ci_low,pobreza_ci_high,pobreza_multi_pct,viv_materialidad_deficitaria_pct,hacinamiento_phh,nse_index,nse_index_pca,nse_quintil,tasa_delitos_violentos,tasa_delitos_propiedad,paes_puntaje_promedio,pct_fonasa_tramo_a_b,ipp_per_capita
Quinta Normal,11.83,140381,400000,12.81,19.68,13.76,25.6,31.87,15.55,3.093,-0.001,-0.011,4,2152.0,2805.9,572.0,56.69,85.0
Recoleta,15.85,195514,260879,11.47,21.16,15.22,27.1,18.18,19.09,3.156,-0.123,-0.174,3,2033.1,2895.4,581.9,59.9,142.0
Renca,23.75,162638,193000,10.88,19.5,13.15,25.84,15.87,14.59,3.425,-0.21,-0.24,3,1655.8,1943.0,580.7,57.15,148.0
San Bernardo,153.14,343570,199917,11.62,18.71,14.04,23.38,17.52,13.77,3.487,-0.161,-0.161,3,1650.0,2494.4,588.0,57.72,115.0
San Joaquín,9.94,103586,270000,11.79,19.61,13.77,25.46,22.17,11.73,3.185,0.006,-0.012,4,1633.4,2654.8,532.4,59.51,169.0
San José de Maipo,4984.91,19211,244051,11.45,24.4,18.03,30.77,29.03,31.51,3.491,-0.876,-0.998,1,1582.4,2561.0,552.4,58.92,177.0
San Miguel,9.63,140870,421694,14.09,12.92,8.27,17.57,17.78,5.97,2.814,0.952,1.083,5,1702.3,3861.0,590.2,53.91,122.0
San Pedro,794.84,12336,198310,8.74,31.93,23.09,40.77,19.28,36.76,2.994,-1.014,-1.301,1,1410.5,2294.1,561.4,70.71,86.0
San Ramón,6.31,84926,223917,10.75,19.17,13.1,25.25,18.23,20.03,3.4,-0.33,-0.38,2,2065.3,2371.5,562.6,62.47,48.0
Santiago,23.28,530538,489000,14.17,16.47,10.88,22.05,11.3,9.85,2.326,1.253,1.346,5,2011.5,5353.8,625.0,52.17,226.0
Talagante,128.01,84153,200000,11.52,16.99,11.1,22.88,19.24,15.46,3.434,-0.168,-0.171,3,1478.3,2184.1,600.4,55.68,75.0
Tiltil,654.87,22110,193917,9.55,28.91,20.81,37.01,29.47,28.15,3.332,-1.083,-1.307,1,1379.5,2270.5,532.2,54.97,131.0
Vitacura,28.29,97546,950000,16.23,2.44,0.0,5.09,1.63,0.84,3.037,2.238,2.686,5,542.3,2105.7,763.2,51.99,862.0
Ñuñoa,16.91,261138,693470,15.61,5.17,1.83,8.5,3.42,2.13,2.533,2.079,2.395,5,1064.6,3201.8,649.0,52.86,166.0
