name,outcome,hospital_year_start,hospital_year_end,hospital_n_years,hospital_admissions_total,hospital_rate_crude_per_100k,hospital_rate_age_adjusted_per_100k,hospital_days_total,hospital_mean_los_days,hospital_in_hospital_deaths_total,hospital_low_count_flag,hospital_admissions_0_14,hospital_rate_0_14_per_100k,hospital_admissions_15_64,hospital_rate_15_64_per_100k,hospital_admissions_65_plus,hospital_rate_65_plus_per_100k
Puente Alto,cerebrovascular,2006,2006,1,479.0,84.3153,108.7117,5632.0,11.7578,77.0,0,4.0,3.514,165.0,39.9232,310.0,756.4297
Quilicura,cerebrovascular,2006,2006,1,72.0,34.2189,56.0549,655.0,9.0972,21.0,0,2.0,4.458,29.0,18.6788,41.0,398.4064
Quinta Normal,cerebrovascular,2006,2006,1,161.0,146.329,127.0467,2447.0,15.1988,19.0,0,0.0,0.0,45.0,58.0361,116.0,813.9209
Recoleta,cerebrovascular,2006,2006,1,200.0,126.7018,113.4377,2473.0,12.365,44.0,0,6.0,22.0378,50.0,45.0341,144.0,734.7689
Renca,cerebrovascular,2006,2006,1,126.0,85.6263,89.9227,1567.0,12.4365,20.0,0,5.0,16.468,32.0,31.2818,89.0,614.1319
San Bernardo,cerebrovascular,2006,2006,1,258.0,85.6252,100.3786,2928.0,11.3488,45.0,0,4.0,6.3032,91.0,42.7427,163.0,653.3066
San Joaquín,cerebrovascular,2006,2006,1,152.0,160.8602,127.9448,1621.0,10.6645,26.0,0,3.0,20.1059,34.0,51.7307,115.0,830.5648
San José de Maipo,cerebrovascular,2006,2006,1,26.0,142.9435,141.2519,251.0,9.6538,3.0,0,0.0,0.0,9.0,68.3475,17.0,879.0072
San Miguel,cerebrovascular,2006,2006,1,144.0,133.3901,116.7287,2272.0,15.7778,21.0,0,0.0,0.0,42.0,54.4775,102.0,739.9884
San Pedro,cerebrovascular,2006,2006,1,8.0,82.2538,75.6219,65.0,8.125,1.0,1,0.0,0.0,3.0,45.0518,5.0,413.2231
San Ramón,cerebrovascular,2006,2006,1,185.0,223.1604,181.1551,1767.0,9.5514,22.0,0,2.0,13.2363,47.0,84.3473,136.0,1126.9473
Santiago,cerebrovascular,2006,2006,1,489.0,120.8915,157.5165,4509.0,9.2209,87.0,0,5.0,10.6383,128.0,39.0035,356.0,1214.2297
Talagante,cerebrovascular,2006,2006,1,73.0,98.3337,109.7107,741.0,10.1507,8.0,0,1.0,6.7513,12.0,22.8232,60.0,876.2962
Tiltil,cerebrovascular,2006,2006,1,15.0,77.6719,82.6393,137.0,9.1333,5.0,0,0.0,0.0,3.0,21.7944,12.0,637.6196
Vitacura,cerebrovascular,2006,2006,1,128.0,149.911,104.8043,1436.0,11.2188,18.0,0,1.0,6.7504,24.0,43.0957,103.0,692.2043
Ñuñoa,cerebrovascular,2006,2006,1,360.0,172.8799,134.2192,4987.0,13.8528,57.0,0,3.0,10.2916,62.0,41.6546,295.0,975.4323
Alhué,dementia,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Buin,dementia,2006,2006,1,2.0,2.0701,2.3553,25.0,12.5,0.0,1,0.0,0.0,1.0,1.4502,1.0,12.5518
Calera de Tango,dementia,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Cerrillos,dementia,2006,2006,1,3.0,3.7114,3.265,130.0,43.3333,0.0,1,0.0,0.0,0.0,0.0,3.0,31.0302
Cerro Navia,dementia,2006,2006,1,2.0,1.508,1.2922,50.0,25.0,0.0,1,0.0,0.0,0.0,0.0,2.0,12.2812
Colina,dementia,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Conchalí,dementia,2006,2006,1,12.0,9.4522,7.733,266.0,22.1667,1.0,0,0.0,0.0,2.0,2.2764,10.0,58.0585
Curacaví,dementia,2006,2006,1,2.0,6.1389,5.7686,11.0,5.5,0.0,1,0.0,0.0,0.0,0.0,2.0,54.8246
El Bosque,dementia,2006,2006,1,6.0,3.6922,3.2076,689.0,114.8333,1.0,1,0.0,0.0,0.0,0.0,6.0,30.4847
El Monte,dementia,2006,2006,1,1.0,2.7837,3.0244,35.0,35.0,1.0,1,0.0,0.0,0.0,0.0,1.0,28.7439
Estación Central,dementia,2006,2006,1,15.0,10.2012,9.2249,219.0,14.6,0.0,0,0.0,0.0,0.0,0.0,15.0,87.6732
Huechuraba,dementia,2006,2006,1,3.0,3.0404,3.4445,23.0,7.6667,0.0,1,0.0,0.0,0.0,0.0,3.0,32.7368
Independencia,dementia,2006,2006,1,9.0,8.9748,8.6861,107.0,11.8889,0.0,1,0.0,0.0,3.0,4.0796,6.0,54.8898
Isla de Maipo,dementia,2006,2006,1,1.0,2.761,2.9807,2.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1.0,28.3286
La Cisterna,dementia,2006,2006,1,5.0,5.5482,4.084,230.0,46.0,0.0,1,0.0,0.0,0.0,0.0,5.0,38.8138
La Florida,dementia,2006,2006,1,14.0,3.8156,3.2264,1178.0,84.1429,3.0,0,0.0,0.0,1.0,0.388,13.0,28.0329
La Granja,dementia,2006,2006,1,11.0,9.4363,8.4643,341.0,31.0,0.0,0,0.0,0.0,0.0,0.0,11.0,80.4446
La Pintana,dementia,2006,2006,1,7.0,3.9473,4.5795,97.0,13.8571,1.0,1,0.0,0.0,1.0,0.8222,6.0,37.9483
La Reina,dementia,2006,2006,1,9.0,9.6996,6.9228,129.0,14.3333,1.0,1,0.0,0.0,0.0,0.0,9.0,65.7943
Lampa,dementia,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Las Condes,dementia,2006,2006,1,35.0,11.8709,8.1833,323.0,9.2286,1.0,0,0.0,0.0,1.0,0.4827,34.0,74.501
Lo Barnechea,dementia,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Lo Espejo,dementia,2006,2006,1,4.0,4.0484,3.6509,99.0,24.75,0.0,1,0.0,0.0,0.0,0.0,4.0,34.6981
Lo Prado,dementia,2006,2006,1,1.0,1.039,0.7524,22.0,22.0,0.0,1,0.0,0.0,0.0,0.0,1.0,7.1505
Macul,dementia,2006,2006,1,11.0,9.4393,6.7649,469.0,42.6364,0.0,0,0.0,0.0,0.0,0.0,11.0,64.2936
Maipú,dementia,2006,2006,1,19.0,3.6424,4.1629,340.0,17.8947,2.0,0,0.0,0.0,3.0,0.7838,16.0,34.2488
María Pinto,dementia,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Melipilla,dementia,2006,2006,1,1.0,0.8089,0.763,8.0,8.0,0.0,1,0.0,0.0,0.0,0.0,1.0,7.2516
Padre Hurtado,dementia,2006,2006,1,2.0,3.1621,4.0045,18.0,9.0,0.0,1,0.0,0.0,0.0,0.0,2.0,38.059
Paine,dementia,2006,2006,1,1.0,1.3744,1.602,2.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1.0,15.2253
Pedro Aguirre Cerda,dementia,2006,2006,1,13.0,12.8492,9.8403,1142.0,87.8462,0.0,0,0.0,0.0,1.0,1.4262,12.0,83.8516
Peñaflor,dementia,2006,2006,1,4.0,4.4345,4.8622,22.0,5.5,0.0,1,0.0,0.0,0.0,0.0,4.0,46.2107
Peñalolén,dementia,2006,2006,1,5.0,2.0695,2.1434,233.0,46.6,0.0,1,0.0,0.0,1.0,0.5869,4.0,16.3914
Pirque,dementia,2006,2006,1,2.0,7.5412,8.201,77.0,38.5,1.0,1,0.0,0.0,0.0,0.0,2.0,77.9423
Providencia,dementia,2006,2006,1,16.0,11.2613,7.8225,137.0,8.5625,0.0,0,0.0,0.0,1.0,0.9698,15.0,67.769
Pudahuel,dementia,2006,2006,1,1.0,0.4342,0.563,22.0,22.0,0.0,1,0.0,0.0,0.0,0.0,1.0,5.3505
Puente Alto,dementia,2006,2006,1,16.0,2.8164,3.6032,4656.0,291.0,1.0,0,0.0,0.0,6.0,1.4518,10.0,24.401
Quilicura,dementia,2006,2006,1,3.0,1.4258,3.0673,52.0,17.3333,1.0,1,0.0,0.0,0.0,0.0,3.0,29.1517
Quinta Normal,dementia,2006,2006,1,7.0,6.3621,5.1679,69.0,9.8571,0.0,1,0.0,0.0,0.0,0.0,7.0,49.1159
Recoleta,dementia,2006,2006,1,13.0,8.2356,7.4024,737.0,56.6923,2.0,0,0.0,0.0,4.0,3.6027,9.0,45.9231
Renca,dementia,2006,2006,1,6.0,4.0774,4.3563,78.0,13.0,0.0,1,0.0,0.0,0.0,0.0,6.0,41.4022
San Bernardo,dementia,2006,2006,1,6.0,1.9913,2.4437,99.0,16.5,1.0,1,0.0,0.0,1.0,0.4697,5.0,20.0401
San Joaquín,dementia,2006,2006,1,5.0,5.2915,4.1252,58.0,11.6,0.0,1,0.0,0.0,1.0,1.5215,4.0,28.8892
San José de Maipo,dementia,2006,2006,1,1.0,5.4978,5.4405,103.0,103.0,0.0,1,0.0,0.0,0.0,0.0,1.0,51.7063
San Miguel,dementia,2006,2006,1,7.0,6.4842,5.3434,87.0,12.4286,1.0,1,0.0,0.0,0.0,0.0,7.0,50.7835
San Pedro,dementia,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
San Ramón,dementia,2006,2006,1,3.0,3.6188,3.0242,55.0,18.3333,0.0,1,0.0,0.0,1.0,1.7946,2.0,16.5728
Santiago,dementia,2006,2006,1,25.0,6.1805,8.8304,16224.0,648.96,4.0,0,0.0,0.0,1.0,0.3047,24.0,81.8582
Talagante,dementia,2006,2006,1,1.0,1.347,1.5367,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,14.6049
Tiltil,dementia,2006,2006,1,1.0,5.1781,5.5908,8.0,8.0,0.0,1,0.0,0.0,0.0,0.0,1.0,53.135
Vitacura,dementia,2006,2006,1,11.0,12.883,7.7783,60.0,5.4545,0.0,0,0.0,0.0,0.0,0.0,11.0,73.9247
Ñuñoa,dementia,2006,2006,1,25.0,12.0056,8.8292,1105.0,44.2,1.0,0,0.0,0.0,1.0,0.6718,24.0,79.3572
Alhué,mental_all,2006,2006,1,3.0,46.5549,55.9298,6.0,2.0,0.0,1,2.0,228.3105,1.0,20.3707,0.0,0.0
Buin,mental_all,2006,2006,1,55.0,56.9276,57.3702,1138.0,20.6909,0.0,0,11.0,55.8688,38.0,55.106,6.0,75.3107
Calera de Tango,mental_all,2006,2006,1,24.0,94.518,92.9402,737.0,30.7083,0.0,0,3.0,60.9632,21.0,114.7729,0.0,0.0
Cerrillos,mental_all,2006,2006,1,93.0,115.0534,114.3708,3758.0,40.4086,0.0,0,17.0,111.6071,61.0,109.0591,15.0,155.151
Cerro Navia,mental_all,2006,2006,1,137.0,103.3011,103.6438,3798.0,27.7226,2.0,0,29.0,116.5454,95.0,103.8774,13.0,79.8281
Colina,mental_all,2006,2006,1,130.0,88.915,89.2021,3967.0,30.5154,2.0,0,30.0,83.3264,93.0,91.0551,7.0,86.7625
Conchalí,mental_all,2006,2006,1,371.0,292.2295,296.8098,31754.0,85.5903,3.0,0,57.0,260.5953,287.0,326.6672,27.0,156.758
Curacaví,mental_all,2006,2006,1,43.0,131.9869,131.189,416.0,9.6744,0.0,0,7.0,112.504,27.0,118.9008,9.0,246.7105
El Bosque,mental_all,2006,2006,1,205.0,126.15,126.9093,4865.0,23.7317,2.0,0,37.0,118.2978,149.0,133.5772,19.0,96.5349
El Monte,mental_all,2006,2006,1,16.0,44.5397,45.1985,308.0,19.25,1.0,0,2.0,26.7023,12.0,48.0866,2.0,57.4878
Estación Central,mental_all,2006,2006,1,212.0,144.1775,144.2717,4602.0,21.7075,2.0,0,37.0,167.9757,134.0,124.1833,41.0,239.64
Huechuraba,mental_all,2006,2006,1,226.0,229.044,220.2123,5113.0,22.6239,0.0,0,83.0,371.6473,132.0,196.5017,11.0,120.0349
Independencia,mental_all,2006,2006,1,216.0,215.3947,214.9717,8996.0,41.6481,0.0,0,32.0,202.3396,153.0,208.0614,31.0,283.5971
Isla de Maipo,mental_all,2006,2006,1,27.0,74.5465,76.799,417.0,15.4444,0.0,0,0.0,0.0,20.0,78.3976,7.0,198.3003
La Cisterna,mental_all,2006,2006,1,132.0,146.473,148.8266,9021.0,68.3409,1.0,0,24.0,156.7193,96.0,155.0312,12.0,93.1532
La Florida,mental_all,2006,2006,1,610.0,166.2506,166.7159,14168.0,23.2262,3.0,0,97.0,154.4955,447.0,173.4192,66.0,142.3211
La Granja,mental_all,2006,2006,1,187.0,160.4173,159.9906,4097.0,21.9091,0.0,0,76.0,351.5914,100.0,123.03,11.0,80.4446
La Pintana,mental_all,2006,2006,1,227.0,128.0063,122.7916,5811.0,25.5991,1.0,0,85.0,213.0112,131.0,107.7125,11.0,69.5718
La Reina,mental_all,2006,2006,1,265.0,285.6004,291.7922,4526.0,17.0792,1.0,0,32.0,209.4104,214.0,335.2761,19.0,138.899
Lampa,mental_all,2006,2006,1,86.0,84.2856,88.1636,2318.0,26.9535,0.0,0,11.0,44.4211,69.0,96.0936,6.0,109.7695
Las Condes,mental_all,2006,2006,1,917.0,311.0183,308.2109,20865.0,22.7535,1.0,0,109.0,259.3447,658.0,317.6105,150.0,328.6807
Lo Barnechea,mental_all,2006,2006,1,218.0,205.9849,205.2175,2939.0,13.4817,0.0,0,36.0,152.2521,174.0,233.6637,8.0,103.6001
Lo Espejo,mental_all,2006,2006,1,91.0,92.1015,92.76,2217.0,24.3626,0.0,0,12.0,63.5492,70.0,102.3497,9.0,78.0708
Lo Prado,mental_all,2006,2006,1,124.0,128.8325,130.679,3588.0,28.9355,1.0,0,15.0,91.536,97.0,147.2441,12.0,85.8062
Macul,mental_all,2006,2006,1,240.0,205.9485,213.1574,10947.0,45.6125,1.0,0,70.0,390.8868,145.0,177.877,25.0,146.1219
Maipú,mental_all,2006,2006,1,537.0,102.9471,103.6495,10516.0,19.5829,3.0,0,122.0,132.3569,356.0,93.0147,59.0,126.2924
María Pinto,mental_all,2006,2006,1,2.0,14.7167,14.3382,19.0,9.5,0.0,1,0.0,0.0,2.0,20.0965,0.0,0.0
Melipilla,mental_all,2006,2006,1,100.0,80.8885,80.5576,2075.0,20.75,0.0,0,29.0,121.5933,65.0,75.5928,6.0,43.5098
Padre Hurtado,mental_all,2006,2006,1,42.0,66.4032,67.0769,6116.0,145.619,0.0,0,6.0,46.4648,32.0,70.9818,4.0,76.118
Paine,mental_all,2006,2006,1,39.0,53.6016,54.1205,953.0,24.4359,0.0,0,8.0,54.5442,25.0,48.522,6.0,91.352
Pedro Aguirre Cerda,mental_all,2006,2006,1,151.0,149.2478,144.9625,3870.0,25.6291,0.0,0,14.0,83.6021,103.0,146.8973,34.0,237.5795
Peñaflor,mental_all,2006,2006,1,71.0,78.7131,79.083,964.0,13.5775,0.0,0,13.0,69.7014,50.0,79.5001,8.0,92.4214
Peñalolén,mental_all,2006,2006,1,446.0,184.6034,181.9417,9750.0,21.861,1.0,0,166.0,354.6175,248.0,145.5527,32.0,131.1314
Pirque,mental_all,2006,2006,1,28.0,105.5767,105.8825,661.0,23.6071,0.0,0,4.0,76.5697,22.0,117.4524,2.0,77.9423
Providencia,mental_all,2006,2006,1,439.0,308.983,295.8035,17532.0,39.9362,1.0,0,35.0,207.9249,305.0,295.7977,99.0,447.2757
Pudahuel,mental_all,2006,2006,1,219.0,95.0962,94.3216,21150.0,96.5753,0.0,0,60.0,131.5184,143.0,86.1539,16.0,85.6073
Puente Alto,mental_all,2006,2006,1,639.0,112.479,113.4136,61700.0,96.5571,0.0,0,70.0,61.4952,521.0,126.0604,48.0,117.1246
Quilicura,mental_all,2006,2006,1,212.0,100.7557,100.7719,5794.0,27.3302,1.0,0,31.0,69.0993,172.0,110.7848,9.0,87.4551
Quinta Normal,mental_all,2006,2006,1,206.0,187.2285,188.8109,3405.0,16.5291,0.0,0,44.0,241.281,140.0,180.5566,22.0,154.3643
Recoleta,mental_all,2006,2006,1,444.0,281.2779,282.561,25463.0,57.3491,1.0,0,54.0,198.3398,352.0,317.04,38.0,193.8973
Renca,mental_all,2006,2006,1,153.0,103.9748,105.2916,5009.0,32.7386,0.0,0,17.0,55.991,126.0,123.172,10.0,69.0036
San Bernardo,mental_all,2006,2006,1,257.0,85.2934,85.5848,12376.0,48.1556,1.0,0,53.0,83.5172,180.0,84.5459,24.0,96.1924
San Joaquín,mental_all,2006,2006,1,180.0,190.4923,198.4947,2770.0,15.3889,0.0,0,44.0,294.8864,128.0,194.7509,8.0,57.7784
San José de Maipo,mental_all,2006,2006,1,35.0,192.424,191.9481,590.0,16.8571,1.0,0,5.0,161.9171,28.0,212.6367,2.0,103.4126
San Miguel,mental_all,2006,2006,1,167.0,154.6955,152.5673,12305.0,73.6826,0.0,0,14.0,81.996,129.0,167.3239,24.0,174.1149
San Pedro,mental_all,2006,2006,1,4.0,41.1269,38.8202,14.0,3.5,0.0,1,0.0,0.0,2.0,30.0345,2.0,165.2893
San Ramón,mental_all,2006,2006,1,120.0,144.7527,147.7068,4349.0,36.2417,0.0,0,18.0,119.1264,91.0,163.3107,11.0,91.1501
Santiago,mental_all,2006,2006,1,754.0,186.4053,194.7524,118269.0,156.8554,11.0,0,89.0,189.3617,553.0,168.5071,112.0,382.0048
Talagante,mental_all,2006,2006,1,78.0,105.0689,106.5781,1259.0,16.141,0.0,0,8.0,54.0103,60.0,114.1162,10.0,146.0494
Tiltil,mental_all,2006,2006,1,37.0,191.5907,193.7519,745.0,20.1351,0.0,0,2.0,54.5703,29.0,210.6793,6.0,318.8098
Vitacura,mental_all,2006,2006,1,288.0,337.2997,342.5733,4712.0,16.3611,0.0,0,50.0,337.5186,197.0,353.7439,41.0,275.5376
Ñuñoa,mental_all,2006,2006,1,476.0,228.5857,228.1307,13476.0,28.3109,3.0,0,67.0,229.8456,336.0,225.7412,73.0,241.3782
Alhué,mood,2006,2006,1,1.0,15.5183,14.5339,4.0,4.0,0.0,1,0.0,0.0,1.0,20.3707,0.0,0.0
Buin,mood,2006,2006,1,18.0,18.6308,18.6269,333.0,18.5,0.0,0,5.0,25.3949,11.0,15.9517,2.0,25.1036
Calera de Tango,mood,2006,2006,1,7.0,27.5677,27.2956,75.0,10.7143,0.0,1,0.0,0.0,7.0,38.2576,0.0,0.0
Cerrillos,mood,2006,2006,1,33.0,40.8254,41.0725,671.0,20.3333,0.0,0,1.0,6.5651,27.0,48.272,5.0,51.717
Cerro Navia,mood,2006,2006,1,26.0,19.6046,19.5931,596.0,22.9231,1.0,0,3.0,12.0564,19.0,20.7755,4.0,24.5625
Colina,mood,2006,2006,1,27.0,18.467,19.2922,720.0,26.6667,0.0,0,4.0,11.1102,21.0,20.5608,2.0,24.7893
Conchalí,mood,2006,2006,1,69.0,54.35,55.7164,1393.0,20.1884,0.0,0,17.0,77.7214,49.0,55.7724,3.0,17.4176
Curacaví,mood,2006,2006,1,13.0,39.903,39.4481,97.0,7.4615,0.0,0,5.0,80.36,7.0,30.8261,1.0,27.4123
El Bosque,mood,2006,2006,1,63.0,38.768,39.3965,1283.0,20.3651,1.0,0,8.0,25.5779,51.0,45.721,4.0,20.3231
El Monte,mood,2006,2006,1,5.0,13.9187,13.8568,59.0,11.8,0.0,1,1.0,13.3511,4.0,16.0289,0.0,0.0
Estación Central,mood,2006,2006,1,43.0,29.2435,29.0565,1285.0,29.8837,0.0,0,5.0,22.6994,34.0,31.5092,4.0,23.3795
Huechuraba,mood,2006,2006,1,61.0,61.8216,59.7915,1497.0,24.541,0.0,0,21.0,94.0313,37.0,55.08,3.0,32.7368
Independencia,mood,2006,2006,1,51.0,50.8571,51.5276,1358.0,26.6275,0.0,0,12.0,75.8773,30.0,40.7963,9.0,82.3346
Isla de Maipo,mood,2006,2006,1,5.0,13.8049,14.7195,24.0,4.8,0.0,1,0.0,0.0,1.0,3.9199,4.0,113.3144
La Cisterna,mood,2006,2006,1,34.0,37.7279,38.6306,495.0,14.5588,0.0,0,4.0,26.1199,28.0,45.2174,2.0,15.5255
La Florida,mood,2006,2006,1,250.0,68.1355,68.3854,4547.0,18.188,0.0,0,32.0,50.9676,194.0,75.2647,24.0,51.7531
La Granja,mood,2006,2006,1,31.0,26.5932,26.8776,557.0,17.9677,0.0,0,3.0,13.8786,26.0,31.9878,2.0,14.6263
La Pintana,mood,2006,2006,1,43.0,24.2479,24.6429,1092.0,25.3953,0.0,0,5.0,12.5301,37.0,30.4226,1.0,6.3247
La Reina,mood,2006,2006,1,131.0,141.1836,146.2742,2125.0,16.2214,1.0,0,18.0,117.7933,109.0,170.7714,4.0,29.2419
Lampa,mood,2006,2006,1,11.0,10.7807,13.4624,232.0,21.0909,0.0,0,1.0,4.0383,7.0,9.7486,3.0,54.8847
Las Condes,mood,2006,2006,1,436.0,147.8778,146.5212,6067.0,13.9151,0.0,0,42.0,99.931,330.0,159.2879,64.0,140.2371
Lo Barnechea,mood,2006,2006,1,109.0,102.9925,101.6085,1027.0,9.422,0.0,0,19.0,80.3553,88.0,118.1747,2.0,25.9
Lo Espejo,mood,2006,2006,1,15.0,15.1816,15.5173,268.0,17.8667,0.0,0,0.0,0.0,14.0,20.4699,1.0,8.6745
Lo Prado,mood,2006,2006,1,14.0,14.5456,14.5245,198.0,14.1429,0.0,0,1.0,6.1024,11.0,16.6978,2.0,14.301
Macul,mood,2006,2006,1,73.0,62.6427,62.1133,1096.0,15.0137,1.0,0,6.0,33.5046,57.0,69.9241,10.0,58.4488
Maipú,mood,2006,2006,1,209.0,40.0669,39.7222,3762.0,18.0,0.0,0,25.0,27.1223,171.0,44.6784,13.0,27.8271
María Pinto,mood,2006,2006,1,1.0,7.3584,7.1691,9.0,9.0,0.0,1,0.0,0.0,1.0,10.0482,0.0,0.0
Melipilla,mood,2006,2006,1,30.0,24.2665,24.4111,467.0,15.5667,0.0,0,5.0,20.9644,23.0,26.7482,2.0,14.5033
Padre Hurtado,mood,2006,2006,1,11.0,17.3913,17.2301,225.0,20.4545,0.0,0,1.0,7.7441,10.0,22.1818,0.0,0.0
Paine,mood,2006,2006,1,14.0,19.2416,19.1581,280.0,20.0,0.0,0,3.0,20.4541,10.0,19.4088,1.0,15.2253
Pedro Aguirre Cerda,mood,2006,2006,1,57.0,56.3386,55.0899,1135.0,19.9123,0.0,0,3.0,17.9147,43.0,61.3261,11.0,76.864
Peñaflor,mood,2006,2006,1,16.0,17.7382,18.0695,130.0,8.125,0.0,0,2.0,10.7233,11.0,17.49,3.0,34.658
Peñalolén,mood,2006,2006,1,119.0,49.2552,49.4641,1737.0,14.5966,0.0,0,16.0,34.18,92.0,53.9954,11.0,45.0764
Pirque,mood,2006,2006,1,12.0,45.2472,45.3232,390.0,32.5,0.0,0,2.0,38.2848,9.0,48.0487,1.0,38.9712
Providencia,mood,2006,2006,1,199.0,140.0629,134.041,2883.0,14.4874,0.0,0,13.0,77.2293,146.0,141.595,40.0,180.7174
Pudahuel,mood,2006,2006,1,45.0,19.5403,19.8466,802.0,17.8222,0.0,0,5.0,10.9599,35.0,21.0866,5.0,26.7523
Puente Alto,mood,2006,2006,1,231.0,40.6614,40.9163,5532.0,23.9481,0.0,0,23.0,20.2056,192.0,46.456,16.0,39.0415
Quilicura,mood,2006,2006,1,68.0,32.3179,31.9869,1385.0,20.3676,0.0,0,7.0,15.6031,59.0,38.0018,2.0,19.4345
Quinta Normal,mood,2006,2006,1,29.0,26.3574,26.4352,763.0,26.3103,0.0,0,4.0,21.9346,22.0,28.3732,3.0,21.0497
Recoleta,mood,2006,2006,1,99.0,62.7174,62.9222,2981.0,30.1111,0.0,0,20.0,73.4592,68.0,61.2464,11.0,56.1282
Renca,mood,2006,2006,1,26.0,17.6689,17.9187,505.0,19.4231,0.0,0,3.0,9.8808,20.0,19.5511,3.0,20.7011
San Bernardo,mood,2006,2006,1,98.0,32.5243,32.9041,1840.0,18.7755,0.0,0,11.0,17.3338,80.0,37.576,7.0,28.0561
San Joaquín,mood,2006,2006,1,45.0,47.6231,48.3907,594.0,13.2,0.0,0,4.0,26.8079,38.0,57.8167,3.0,21.6669
San José de Maipo,mood,2006,2006,1,16.0,87.9653,87.5978,298.0,18.625,1.0,0,2.0,64.7668,14.0,106.3183,0.0,0.0
San Miguel,mood,2006,2006,1,61.0,56.5055,56.161,1355.0,22.2131,0.0,0,5.0,29.2843,50.0,64.8542,6.0,43.5287
San Pedro,mood,2006,2006,1,2.0,20.5634,19.4101,5.0,2.5,0.0,1,0.0,0.0,1.0,15.0173,1.0,82.6446
San Ramón,mood,2006,2006,1,27.0,32.5694,32.3674,625.0,23.1481,0.0,0,2.0,13.2363,20.0,35.8925,5.0,41.4319
Santiago,mood,2006,2006,1,214.0,52.9055,54.136,9729.0,45.4626,1.0,0,20.0,42.5532,164.0,49.9732,30.0,102.3227
Talagante,mood,2006,2006,1,23.0,30.9819,31.0852,365.0,15.8696,0.0,0,5.0,33.7564,15.0,28.529,3.0,43.8148
Tiltil,mood,2006,2006,1,12.0,62.1375,62.5415,180.0,15.0,0.0,0,2.0,54.5703,8.0,58.1184,2.0,106.2699
Vitacura,mood,2006,2006,1,121.0,141.7127,145.2063,1712.0,14.1488,0.0,0,21.0,141.7578,85.0,152.6306,15.0,100.8065
Ñuñoa,mood,2006,2006,1,228.0,109.4906,108.8271,3441.0,15.0921,2.0,0,29.0,99.4854,164.0,110.1832,35.0,115.7293
Alhué,parkinsonism,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Buin,parkinsonism,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Calera de Tango,parkinsonism,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Cerrillos,parkinsonism,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Cerro Navia,parkinsonism,2006,2006,1,3.0,2.2621,2.2064,16.0,5.3333,0.0,1,0.0,0.0,2.0,2.1869,1.0,6.1406
Colina,parkinsonism,2006,2006,1,1.0,0.684,1.3042,9.0,9.0,1.0,1,0.0,0.0,0.0,0.0,1.0,12.3946
Conchalí,parkinsonism,2006,2006,1,1.0,0.7877,0.6109,68.0,68.0,0.0,1,0.0,0.0,0.0,0.0,1.0,5.8059
Curacaví,parkinsonism,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
El Bosque,parkinsonism,2006,2006,1,2.0,1.2307,1.1742,18.0,9.0,0.0,1,0.0,0.0,1.0,0.8965,1.0,5.0808
El Monte,parkinsonism,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
Estación Central,parkinsonism,2006,2006,1,3.0,2.0402,1.845,95.0,31.6667,0.0,1,0.0,0.0,0.0,0.0,3.0,17.5346
Huechuraba,parkinsonism,2006,2006,1,1.0,1.0135,1.0621,3.0,3.0,0.0,1,0.0,0.0,1.0,1.4886,0.0,0.0
Independencia,parkinsonism,2006,2006,1,1.0,0.9972,0.9626,18.0,18.0,0.0,1,0.0,0.0,0.0,0.0,1.0,9.1483
Isla de Maipo,parkinsonism,2006,2006,1,0.0,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
La Cisterna,parkinsonism,2006,2006,1,1.0,1.1096,1.1522,1.0,1.0,0.0,1,0.0,0.0,1.0,1.6149,0.0,0.0
La Florida,parkinsonism,2006,2006,1,8.0,2.1803,1.865,71.0,8.875,1.0,1,0.0,0.0,1.0,0.388,7.0,15.0947
