name,date,precipitation_mm
Alhué,2015-06-17,0.0
Alhué,2015-06-18,0.0
Alhué,2015-06-19,0.0
Alhué,2015-06-20,0.0
Alhué,2015-06-21,0.064315526391667
Alhué,2015-06-22,0.0
Alhué,2015-06-23,0.1161451982229912
Alhué,2015-06-24,0.0
Alhué,2015-06-25,0.0
Alhué,2015-06-26,0.0
Alhué,2015-06-27,0.0
Alhué,2015-06-28,0.0
Alhué,2015-06-29,0.0
Alhué,2015-06-30,0.0
Alhué,2015-07-01,0.0
Alhué,2015-07-02,0.0
Alhué,2015-07-03,0.0
Alhué,2015-07-04,0.0
Alhué,2015-07-05,19.990479737669418
Alhué,2015-07-06,0.0
Alhué,2015-07-07,0.0
Alhué,2015-07-08,4.690538090375097
Alhué,2015-07-09,10.528765728931171
Alhué,2015-07-10,9.42672135605431
Alhué,2015-07-11,10.471455684691415
Alhué,2015-07-12,20.35006752502932
Alhué,2015-07-13,0.0
Alhué,2015-07-14,0.0
Alhué,2015-07-15,7.255864455589094
Alhué,2015-07-16,0.0642145448987049
Alhué,2015-07-17,0.0
Alhué,2015-07-18,0.0
Alhué,2015-07-19,0.0
Alhué,2015-07-20,0.0
Alhué,2015-07-21,0.0
Alhué,2015-07-22,0.0
Alhué,2015-07-23,0.0
Alhué,2015-07-24,0.0
Alhué,2015-07-25,7.262823342992808
Alhué,2015-07-26,5.255507512882582
Alhué,2015-07-27,1.3640474677796297
Alhué,2015-07-28,1.3711334093534902
Alhué,2015-07-29,0.0
Alhué,2015-07-30,2.6903704355101192
Alhué,2015-07-31,3.262235506257226
Alhué,2015-08-01,5.942673466884762
Alhué,2015-08-02,0.6597589334799365
Alhué,2015-08-03,3.0617185313028146
Alhué,2015-08-04,0.0924095689753099
Alhué,2015-08-05,22.585999699343652
Alhué,2015-08-06,74.9781630196645
Alhué,2015-08-07,0.0
Alhué,2015-08-08,12.58249224832146
Alhué,2015-08-09,0.0
Alhué,2015-08-10,0.0
Alhué,2015-08-11,0.0
Alhué,2015-08-12,0.0
Alhué,2015-08-13,0.0
Alhué,2015-08-14,0.0
Alhué,2015-08-15,0.0
Alhué,2015-08-16,0.0
Alhué,2015-08-17,0.0
Alhué,2015-08-18,0.0
Alhué,2015-08-19,0.0
Alhué,2015-08-20,0.0
Alhué,2015-08-21,6.29649256648267
Alhué,2015-08-22,0.0
Alhué,2015-08-23,10.179375566487089
Alhué,2015-08-24,2.839287407406749
Alhué,2015-08-25,0.0448137195800854
Alhué,2015-08-26,1.4162839468670685
Alhué,2015-08-27,8.571517815351205
Alhué,2015-08-28,12.272537843774696
Alhué,2015-08-29,0.0
Alhué,2015-08-30,0.0
Alhué,2015-08-31,0.0
Alhué,2015-09-01,0.0
Alhué,2015-09-02,0.0
Alhué,2015-09-03,0.0
Alhué,2015-09-04,0.0
Alhué,2015-09-05,0.0
Alhué,2015-09-06,4.326413476282422
Alhué,2015-09-07,10.859388211458317
Alhué,2015-09-08,0.1504603701069755
Alhué,2015-09-09,2.5524274360863615
Alhué,2015-09-10,0.0
Alhué,2015-09-11,0.0
Alhué,2015-09-12,0.0
Alhué,2015-09-13,0.0
Alhué,2015-09-14,4.485936460833158
Alhué,2015-09-15,5.105590690496568
Alhué,2015-09-16,0.2425182083082142
Alhué,2015-09-17,0.0
Alhué,2015-09-18,0.0
Alhué,2015-09-19,0.6896984938074777
Alhué,2015-09-20,6.120099670753433
Alhué,2015-09-21,0.0
Alhué,2015-09-22,0.0
Alhué,2015-09-23,0.0
Alhué,2015-09-24,0.0
Alhué,2015-09-25,0.0855670895991365
Alhué,2015-09-26,0.0005562594273661
Alhué,2015-09-27,0.0
Alhué,2015-09-28,2.0936813361702993
Alhué,2015-09-29,0.0
Alhué,2015-09-30,0.984110322697654
Alhué,2015-10-01,9.916790527410814
Alhué,2015-10-02,0.0
Alhué,2015-10-03,0.0064768671279016
Alhué,2015-10-04,4.343412307590352
Alhué,2015-10-05,3.4196668631697995
Alhué,2015-10-06,0.0
Alhué,2015-10-07,0.0
Alhué,2015-10-08,0.0
Alhué,2015-10-09,0.0
Alhué,2015-10-10,0.0
Alhué,2015-10-11,0.0
Alhué,2015-10-12,0.0
Alhué,2015-10-13,0.0
Alhué,2015-10-14,17.121217587735853
Alhué,2015-10-15,0.0
Alhué,2015-10-16,3.810331226276129
Alhué,2015-10-17,0.0
Alhué,2015-10-18,0.0
Alhué,2015-10-19,0.2090076582366433
Alhué,2015-10-20,0.0
Alhué,2015-10-21,0.0
Alhué,2015-10-22,0.0
Alhué,2015-10-23,0.0
Alhué,2015-10-24,0.0
Alhué,2015-10-25,0.0
Alhué,2015-10-26,0.0
Alhué,2015-10-27,1.8786337592604616
Alhué,2015-10-28,0.0
Alhué,2015-10-29,0.0
Alhué,2015-10-30,0.0
Alhué,2015-10-31,0.0
Alhué,2015-11-01,0.0
Alhué,2015-11-02,6.727820625933191
Alhué,2015-11-03,0.0
Alhué,2015-11-04,2.4957787071706568
Alhué,2015-11-05,0.1138806098692465
Alhué,2015-11-06,0.0
Alhué,2015-11-07,0.0
Alhué,2015-11-08,0.0
Alhué,2015-11-09,0.0
Alhué,2015-11-10,0.0958396408356131
Alhué,2015-11-11,0.0
Alhué,2015-11-12,0.0
Alhué,2015-11-13,0.0
Alhué,2015-11-14,0.0
Alhué,2015-11-15,0.0
Alhué,2015-11-16,0.1185785712445591
Alhué,2015-11-17,0.0
Alhué,2015-11-18,0.0
Alhué,2015-11-19,0.0
Alhué,2015-11-20,0.0
Alhué,2015-11-21,0.0
Alhué,2015-11-22,0.0727304446114686
Alhué,2015-11-23,0.0
Alhué,2015-11-24,1.0847733467781784
Alhué,2015-11-25,1.2216253673930844
Alhué,2015-11-26,0.0
Alhué,2015-11-27,0.0
Alhué,2015-11-28,0.0
Alhué,2015-11-29,0.0
Alhué,2015-11-30,0.0
Alhué,2015-12-01,0.0
Alhué,2015-12-02,0.0
Alhué,2015-12-03,0.0045675150401828
Alhué,2015-12-04,0.0
Alhué,2015-12-05,0.0
Alhué,2015-12-06,0.0
Alhué,2015-12-07,0.0
Alhué,2015-12-08,0.0
Alhué,2015-12-09,0.0
Alhué,2015-12-10,0.0
Alhué,2015-12-11,0.0
Alhué,2015-12-12,1.3873766262639264
Alhué,2015-12-13,0.0
Alhué,2015-12-14,0.0
Alhué,2015-12-15,0.0
Alhué,2015-12-16,0.0920305738716216
Alhué,2015-12-17,0.0
Alhué,2015-12-18,0.0
Alhué,2015-12-19,0.0
Alhué,2015-12-20,0.0
Alhué,2015-12-21,0.0
Alhué,2015-12-22,0.0
Alhué,2015-12-23,0.0
Alhué,2015-12-24,0.0
Alhué,2015-12-25,0.0
Alhué,2015-12-26,0.0
Alhué,2015-12-27,0.0
Alhué,2015-12-28,0.0
Alhué,2015-12-29,0.0
Alhué,2015-12-30,0.0
Alhué,2015-12-31,0.0
Alhué,2016-01-01,0.0158127517680303
Alhué,2016-01-02,0.1481905401001669
Alhué,2016-01-03,0.0
Alhué,2016-01-04,0.0
Alhué,2016-01-05,0.0084138795076308
Alhué,2016-01-06,0.3984447281188397
Alhué,2016-01-07,0.0
Alhué,2016-01-08,0.0
Alhué,2016-01-09,0.0
Alhué,2016-01-10,0.0
Alhué,2016-01-11,0.0
Alhué,2016-01-12,0.0
Alhué,2016-01-13,0.0
Alhué,2016-01-14,0.0
Alhué,2016-01-15,0.0
Alhué,2016-01-16,0.0
Alhué,2016-01-17,0.0
Alhué,2016-01-18,0.0
Alhué,2016-01-19,0.0
Alhué,2016-01-20,0.0
Alhué,2016-01-21,0.0
Alhué,2016-01-22,0.0
Alhué,2016-01-23,0.0
Alhué,2016-01-24,0.0
Alhué,2016-01-25,1.6231588072302234
Alhué,2016-01-26,0.0
