tmean_annual,tmax_mean_annual,tmin_mean_annual,tmean_summer,tmax_mean_summer,tmin_mean_summer,tmean_winter,tmax_mean_winter,tmin_mean_winter,tmean_autumn,tmax_mean_autumn,tmin_mean_autumn,tmean_spring,tmax_mean_spring,tmin_mean_spring,hot_days_30c,hot_days_35c,tropical_nights_20c,frost_days,heat_wave_days,cold_spell_days,dtr_mean,dtr_p95,temp_monthly_sd,seasonal_amplitude,cdd_18,hdd_10,ehdd,tmax_p95,tmin_p05,name
17.277322404371585,22.982513661202187,12.255737704918033,23.071428571428566,30.24615384615385,17.002197802197802,12.009782608695653,16.391304347826086,7.964130434782608,17.078260869565216,22.505434782608695,12.332608695652173,17.00989010989011,22.864835164835167,11.77032967032967,69,8,8,0,24,29,10.726775956284152,15.8,4.90997206278601,11.061645962732912,702.5,37.8,54.59999999999994,32.724999999999994,4.6499999999999995,Alhué
14.154918032786885,21.873497267759564,8.072950819672132,19.930769230769233,30.089010989010994,11.820879120879123,8.389130434782608,13.794565217391305,4.109782608695652,14.075,21.38695652173913,8.409782608695652,14.289010989010992,22.31758241758242,7.991208791208792,62,6,0,9,25,33,13.800546448087431,20.549999999999997,5.027352089302679,11.541638795986625,251.39999999999998,230.4,45.40000000000005,32.475,1.5,Buin
13.968579234972678,21.679234972677598,7.833060109289619,20.115384615384617,29.16263736263736,12.627472527472523,7.5989130434782615,14.033695652173913,2.928260869565218,14.019565217391301,21.55108695652174,8.021739130434783,14.20989010989011,22.054945054945055,7.806593406593406,39,3,0,30,22,29,13.846174863387978,19.6,5.489959885008538,12.516471571906354,276.19999999999993,308.09999999999997,49.050000000000026,31.8,-0.975,Calera de Tango
16.10928961748634,23.233606557377048,10.51448087431694,22.468131868131863,31.09010989010989,15.386813186813187,9.865217391304347,15.244565217391305,5.7760869565217385,15.96195652173913,23.030434782608697,10.623913043478261,16.212087912087913,23.65934065934066,10.32197802197802,91,8,2,2,22,32,12.719125683060112,18.175000000000004,5.50820928258254,12.602914476827516,594.5,114.6,45.10000000000001,33.724999999999994,2.7,Cerrillos
15.91639344262295,23.379234972677594,10.031967213114754,22.341758241758242,31.0989010989011,14.824175824175827,9.70108695652174,15.458695652173914,5.615217391304347,15.640217391304349,23.21521739130435,9.966304347826087,16.053846153846152,23.832967032967034,9.77142857142857,90,9,0,3,26,30,13.347267759562843,18.799999999999997,5.468709850293162,12.640671285236502,554.6999999999999,120.6,51.749999999999986,33.4,3.125,Cerro Navia
13.538524590163936,18.45191256830601,9.40327868852459,18.81208791208791,25.49010989010989,13.709890109890106,8.759782608695652,11.690217391304348,5.517391304347826,13.205434782608696,17.867391304347827,9.570652173913045,13.432967032967033,18.840659340659343,8.856043956043957,4,0,1,10,26,35,9.048633879781422,13.700000000000001,4.5442833968072955,10.05230530339226,171.4,325.1,48.1,28.1,1.625,Colina
16.061475409836067,22.694535519125687,10.713934426229509,22.08021978021978,30.425274725274722,15.012087912087914,10.4,14.906521739130437,6.829347826086957,15.84021739130435,22.427173913043475,10.748913043478263,15.990109890109888,23.10769230769231,10.307692307692308,71,4,0,0,27,24,11.980601092896176,17.275000000000006,5.092516384808906,11.680219780219781,536.6,100.7,53.24999999999994,32.675000000000004,4.4,Conchalí
15.12650273224044,21.495628415300544,9.759016393442623,20.440659340659337,28.730769230769237,13.884615384615385,9.840217391304348,14.153260869565216,5.674999999999999,15.192391304347824,21.330434782608698,10.122826086956522,15.090109890109888,21.850549450549448,9.394505494505495,33,2,1,1,27,24,11.736612021857924,16.875,4.642467931688412,10.60044194935499,331.5,118.2,48.40000000000002,31.05,2.7,Curacaví
15.135245901639344,22.37896174863388,9.357923497267759,21.634065934065934,30.285714285714285,14.553846153846155,8.804347826086957,14.509782608695653,4.470652173913045,15.035869565217391,22.269565217391307,9.420652173913044,15.137362637362637,22.53846153846154,9.03956043956044,71,5,0,12,24,24,13.02103825136612,18.875,5.618395525462907,12.829718107978977,464.7,198.10000000000002,45.55000000000004,32.775,1.025,El Bosque
14.260109289617489,21.7672131147541,8.516666666666666,19.64835164835165,28.64285714285714,12.891208791208793,8.568478260869565,14.41521739130435,4.2076086956521745,14.26630434782609,21.653260869565216,8.497826086956522,14.619780219780221,22.439560439560438,8.517582417582416,35,5,0,8,19,30,13.250546448087428,19.0,4.885474164349613,11.079873387482085,232.3,205.20000000000002,50.649999999999984,31.1,0.725,El Monte
