name,area_km2,precip_annual_mean_mm,precip_annual_sd_mm,precip_annual_cv,precip_wet_days,precip_wet_day_pct,precip_heavy_days_10mm,precip_very_heavy_days_20mm,precip_rx1day_mm,precip_rx5day_mm,precip_cdd_days,precip_cwd_days,precip_intensity_wet_day_mm,precip_winter_mean_mm,precip_summer_mean_mm,precip_latest_year_mm,precip_latest_anomaly_mm,precip_latest_anomaly_pct,precip_extremes_index,precip_n_years,precip_n_days
Quinta Normal,11.8325,205.722,67.7946,0.3295,39.1,10.7025,5.0,0.5,20.9465,37.5781,97.0,4.2,5.2543,138.7555,0.9368,343.8793,153.5082,80.6363,33.8235,10,3653
Recoleta,15.851,245.7873,70.5024,0.2868,49.2,13.4669,5.9,0.8,22.2496,39.2348,51.7,4.4,5.0403,153.4454,14.1264,387.7773,157.7667,68.591,22.0588,10,3653
Renca,23.7464,206.0723,68.1621,0.3308,41.1,11.2497,4.1,0.4,19.4539,36.2691,98.0,4.2,4.9441,133.8225,0.9552,343.7084,152.929,80.1601,32.3529,10,3653
San Bernardo,153.1437,272.3436,94.7378,0.3479,45.7,12.5088,7.5,1.0,22.7272,46.3511,97.8,5.2,5.8917,163.7169,0.9046,478.416,228.9694,91.7909,67.6471,10,3653
San Joaquín,9.938,286.1816,82.8538,0.2895,52.8,14.453,6.2,0.8,23.519,42.5225,49.4,4.7,5.4268,157.4929,22.8108,453.7287,186.1635,69.5768,26.4706,10,3653
San José de Maipo,4984.91,484.5669,119.6127,0.2468,85.6,23.4319,11.8,2.6,27.5492,59.4097,29.3,8.4,5.6047,214.7263,48.7632,771.5529,318.8734,70.4413,52.6961,10,3653
San Miguel,9.6285,265.5883,84.4686,0.318,49.1,13.4398,6.7,0.8,21.9113,42.7184,51.4,4.7,5.3716,156.8095,11.1632,449.6466,204.5092,83.4264,38.9706,10,3653
San Pedro,794.8392,399.2462,114.5382,0.2869,45.2,12.373,11.8,5.4,47.7449,78.6601,74.9,4.7,8.7847,250.5138,5.6871,561.991,180.8276,47.441,59.0686,10,3653
San Ramón,6.3078,311.0366,100.9658,0.3246,52.9,14.4801,8.5,1.3,25.0877,47.7006,54.0,5.0,5.8878,156.6019,17.2916,529.2647,242.4756,84.5484,57.1078,10,3653
Santiago,23.2763,222.3732,66.3909,0.2986,45.2,12.3725,5.4,0.6,20.8844,38.1827,57.1,4.5,4.8835,146.4,8.9307,355.6385,148.0725,71.3376,23.0392,10,3653
Talagante,128.0082,297.5254,101.516,0.3412,44.9,12.2901,8.9,1.7,29.6619,55.6161,95.7,4.9,6.5895,189.1355,1.7955,505.5376,231.1247,84.2251,75.0,10,3653
Tiltil,654.8703,245.5941,87.0052,0.3543,42.3,11.5784,6.8,0.9,23.4195,47.5243,55.8,4.3,5.7133,156.4834,8.0798,428.8879,203.6598,90.4238,54.6569,10,3653
Vitacura,28.2937,240.422,70.6573,0.2939,43.2,11.8245,6.1,0.5,21.2702,42.8829,91.2,5.1,5.5345,159.6473,2.4558,389.5779,165.7287,74.0359,39.4608,10,3653
Ñuñoa,16.9121,289.2949,74.0969,0.2561,54.3,14.8632,6.2,0.9,24.7617,43.6268,43.4,4.8,5.3647,165.4409,28.7919,433.0236,159.6986,58.4281,23.0392,10,3653
