name,area_km2,tmean_annual_c,tmax_mean_annual_c,summer_tmax_mean_c,tmax_p95_c,tmax_abs_c,apparent_tmax_mean_c,hot_days_30c,hot_days_35c,apparent_hot_days_35c,tropical_nights_20c,precip_annual_mm,heat_exposure_index,urban_heat_anomaly_c,n_area_grid_points,nearest_climate_m,used_nearest_fallback,n_days
Renca,23.75,16.06,22.69,30.43,32.68,36.2,21.48,71.0,4.0,1.0,0.0,434.7,0.03,0.4,1,0.0,False,366.0
San Bernardo,153.14,15.14,22.38,30.29,32.78,36.8,21.46,71.0,5.0,5.0,0.0,708.2,0.29,0.26,1,0.0,False,366.0
San Joaquín,9.94,16.33,22.93,30.46,32.7,36.8,22.12,74.0,4.0,5.0,6.0,513.7,0.73,0.43,0,0.0,True,366.0
San José de Maipo,4984.91,13.69,19.93,26.64,29.1,32.0,19.47,10.0,0.0,0.0,1.0,627.1,-1.51,-3.38,50,0.0,False,366.0
San Miguel,9.63,16.38,22.97,30.5,32.78,36.8,22.18,76.0,4.0,5.0,7.0,513.7,0.83,0.47,0,0.0,True,366.0
San Pedro,794.84,14.12,20.92,27.36,31.16,36.53,19.77,33.14,4.29,3.0,0.14,567.59,-0.78,-2.67,9,0.0,False,366.0
San Ramón,6.31,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,0,0.0,True,366.0
Santiago,23.28,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,0,0.0,True,366.0
Talagante,128.01,14.29,21.88,29.09,31.81,36.9,20.92,43.5,3.5,3.5,0.0,612.6,-0.34,-0.94,2,0.0,False,366.0
Tiltil,654.87,16.22,22.93,30.28,32.89,37.27,21.97,77.0,9.67,6.33,0.67,568.37,0.49,0.25,6,0.0,False,366.0
Vitacura,28.29,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,1,0.0,False,366.0
Ñuñoa,16.91,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,0,0.0,True,366.0
